ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
ВА001;Астер;232000;500.9;575.0;214;Астерская провинция;Центральная речная зона;региональный центр
ВА002;Велор;126000;310.1;351.4;160;Велорская провинция;Юго-запад;региональный центр
ВА003;Даран;73034;462.9;651.3;345;Даранская провинция;Центральная речная зона;региональный центр
ВА004;Севель;65892;219.0;609.9;249;Севельская провинция;Центральная речная зона;региональный центр
ВА005;Ренор;64322;273.7;862.1;425;Ренальская провинция;Северная Велара;региональный центр
ВА006;Бренна;64015;641.0;663.0;205;Астерская провинция;Центральная речная зона;региональный центр
ВА007;Терен;62453;337.6;613.4;274;Севельская провинция;Центральная речная зона;региональный центр
ВА008;Серен;54030;394.1;727.8;312;Даранская провинция;Центральная речная зона;региональный центр
ВА009;Лорель;49741;611.4;521.6;224;Лейвенская провинция;Центральная речная зона;региональный центр
ВА010;Венир;48056;640.6;883.3;343;Венирская провинция;Северная Велара;региональный центр
ВА011;Лейвен;45000;715.5;500.5;128;Лейвенская провинция;Центральная речная зона;региональный центр
ВА012;Норель;42988;928.4;277.3;138;Доренская провинция;Центральная речная зона;региональный центр
ВА013;Мерель;42956;648.1;840.5;315;Венирская провинция;Северная Велара;региональный центр
ВА014;Реллин;41476;248.7;939.7;400;Ренальская провинция;Северная Велара;региональный центр
ВА015;Мердан;36210;406.9;613.8;328;Даранская провинция;Центральная речная зона;региональный центр
ВА016;Аведен;33204;292.3;615.1;253;Севельская провинция;Центральная речная зона;региональный центр
ВА017;Телен;33030;653.2;744.4;237;Венирская провинция;Центральная речная зона;региональный центр
ВА018;Инор;32944;160.6;626.2;265;Севельская провинция;Центральная речная зона;региональный центр
ВА019;Дедар;28011;774.6;384.4;147;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА020;Савер;27967;563.6;563.1;246;Астерская провинция;Центральная речная зона;малый торговый город
ВА021;Норан;24551;695.3;439.3;245;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА022;Витен;23503;669.8;810.0;282;Венирская провинция;Северная Велара;малый торговый город
ВА023;Фелин;22131;643.0;586.2;203;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА024;Невел;21516;292.1;821.5;416;Ренальская провинция;Северная Велара;малый торговый город
ВА025;Овер;21118;888.6;289.6;150;Доренская провинция;Центральная речная зона;малый торговый город
ВА026;Рарин;21113;1026.0;196.5;36;Доренская провинция;Центральная речная зона;малый торговый город
ВА027;Семер;20775;671.7;485.2;245;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА028;Энел;20714;324.4;805.1;389;Ренальская провинция;Северная Велара;малый торговый город
ВА029;Датер;19532;363.2;778.6;339;Ренальская провинция;Северная Велара;малый торговый город
ВА030;Матарен;18723;748.3;411.4;185;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА031;Бевер;17802;500.8;623.7;331;Даранская провинция;Центральная речная зона;малый торговый город
ВА032;Лерон;17705;850.4;315.1;137;Доренская провинция;Центральная речная зона;малый торговый город
ВА033;Братер;17368;533.7;594.0;289;Астерская провинция;Центральная речная зона;малый торговый город
ВА034;Лавель;15495;465.0;587.8;339;Астерская провинция;Центральная речная зона;малый торговый город
ВА035;Тарин;15435;431.7;695.3;324;Даранская провинция;Центральная речная зона;малый торговый город
ВА036;Аверин;15106;637.8;472.8;247;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА037;Дорвен;14948;650.7;684.2;206;Астерская провинция;Центральная речная зона;малый торговый город
ВА038;Кетер;14494;667.4;786.0;261;Венирская провинция;Северная Велара;малый торговый город
ВА039;Канар;14201;272.4;610.8;245;Севельская провинция;Центральная речная зона;малый торговый город
ВА040;Ревен;14115;645.0;973.2;386;Венирская провинция;Северная Велара;малый торговый город
ВА041;Нарель;14031;129.6;618.7;249;Севельская провинция;Центральная речная зона;малый торговый город
ВА042;Велен;13773;685.7;517.2;234;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА043;Линел;13768;722.9;433.1;221;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА044;Меден;13758;853.9;343.4;127;Доренская провинция;Центральная речная зона;малый торговый город
ВА045;Алин;13585;834.7;361.8;118;Доренская провинция;Центральная речная зона;малый торговый город
ВА046;Телор;13118;651.4;764.7;253;Венирская провинция;Северная Велара;малый торговый город
ВА047;Исел;12773;273.7;892.4;422;Ренальская провинция;Северная Велара;малый торговый город
ВА048;Десел;11845;343.9;809.5;374;Ренальская провинция;Северная Велара;малый торговый город
ВА049;Новел;11744;513.0;607.1;316;Астерская провинция;Центральная речная зона;малый торговый город
ВА050;Вимар;11728;191.4;618.3;262;Севельская провинция;Центральная речная зона;малый торговый город
ВА051;Федар;11219;647.3;493.7;239;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА052;Нерен;10883;246.8;884.9;412;Ренальская провинция;Северная Велара;малый торговый город
ВА053;Олеран;10505;690.8;472.2;245;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА054;Расел;10179;648.8;949.3;381;Венирская провинция;Северная Велара;малый торговый город
ВА055;Этар;10037;665.8;575.7;206;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА056;Дарон;9913;302.2;578.6;233;Севельская провинция;Центральная речная зона;малый торговый город
ВА057;Мавел;9848;194.4;981.8;401;Ренальская провинция;Северная Велара;малый торговый город
ВА058;Бемер;9814;444.2;661.5;339;Даранская провинция;Центральная речная зона;малый торговый город
ВА059;Лелин;9592;799.7;369.6;126;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА060;Бралор;9401;948.8;258.4;116;Доренская провинция;Центральная речная зона;малый торговый город
ВА061;Ламен;9309;213.8;964.1;392;Ренальская провинция;Северная Велара;малый торговый город
ВА062;Танар;9200;834.8;383.3;114;Доренская провинция;Центральная речная зона;малый торговый город
ВА063;Авемер;8994;425.6;588.4;338;Даранская провинция;Центральная речная зона;малый торговый город
ВА064;Дотен;8859;649.2;621.6;196;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА065;Кевел;8263;623.8;502.1;231;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА066;Карон;8146;657.9;723.5;220;Венирская провинция;Центральная речная зона;малый торговый город
ВА067;Реден;8067;724.6;456.7;225;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА068;Нанел;7975;146.6;603.7;247;Севельская провинция;Центральная речная зона;малый торговый город
ВА069;Велдар;7879;107.3;614.0;235;Севельская провинция;Центральная речная зона;малый торговый город
ВА070;Лирин;7829;553.4;584.6;263;Астерская провинция;Центральная речная зона;малый торговый город
ВА071;Мелер;7809;390.6;595.8;316;Даранская провинция;Центральная речная зона;малый торговый город
ВА072;Арен;7731;377.4;744.9;318;Даранская провинция;Центральная речная зона;малый торговый город
ВА073;Теден;7727;444.9;574.3;338;Астерская провинция;Центральная речная зона;малый торговый город
ВА074;Итен;7678;316.4;612.3;260;Севельская провинция;Центральная речная зона;малый торговый город
ВА075;Детер;7659;658.3;547.1;217;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА076;Савен;7510;458.6;687.4;335;Даранская провинция;Центральная речная зона;малый торговый город
ВА077;Нотен;7141;988.7;219.2;60;Доренская провинция;Центральная речная зона;малый торговый город
ВА078;Вилер;6888;632.3;702.9;228;Даранская провинция;Центральная речная зона;малый торговый город
ВА079;Фемер;6449;361.3;604.9;291;Даранская провинция;Центральная речная зона;малый торговый город
ВА080;Немен;6334;348.7;587.4;277;Даранская провинция;Центральная речная зона;малый торговый город
ВА081;Олан;6303;175.9;603.4;249;Севельская провинция;Центральная речная зона;малый торговый город
ВА082;Рарен;6290;1009.9;182.7;36;Доренская провинция;Центральная речная зона;малый торговый город
ВА083;Элор;6288;254.1;918.2;408;Ренальская провинция;Северная Велара;малый торговый город
ВА084;Датен;6173;989.2;195.2;49;Доренская провинция;Центральная речная зона;малый торговый город
ВА085;Марин;6012;656.9;918.6;371;Венирская провинция;Северная Велара;малый торговый город
ВА086;Бедал;5582;493.1;642.8;339;Даранская провинция;Центральная речная зона;малый торговый город
ВА087;Ледар;5521;341.1;767.1;351;Ренальская провинция;Северная Велара;малый торговый город
ВА088;Бралин;5493;527.8;563.7;281;Астерская провинция;Центральная речная зона;малый торговый город
ВА089;Ларан;5452;661.5;658.2;194;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА090;Татен;5263;227.6;948.5;392;Ренальская провинция;Северная Велара;малый торговый город
ВА091;Авенор;5079;466.0;622.7;346;Даранская провинция;Центральная речная зона;малый торговый город
ВА092;Додар;4978;887.7;316.4;145;Доренская провинция;Центральная речная зона;малый торговый город
ВА093;Кетар;4920;627.5;903.4;346;Венирская провинция;Северная Велара;малый торговый город
ВА094;Кавел;4701;417.4;734.6;310;Даранская провинция;Центральная речная зона;малый торговый город
ВА095;Ревел;4543;560.6;529.3;239;Астерская провинция;Центральная речная зона;малый торговый город
ВА096;Навер;4499;651.6;528.0;224;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА097;Ведал;4423;585.0;545.2;227;Астерская провинция;Центральная речная зона;малый торговый город
ВА098;Линор;4415;621.4;853.3;323;Венирская провинция;Северная Велара;малый торговый город
ВА099;Арон;4212;682.3;423.6;252;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА100;Тесел;4082;646.2;815.8;296;Венирская провинция;Северная Велара;малый торговый город
ВА101;Итер;4022;964.1;239.8;92;Доренская провинция;Центральная речная зона;малый торговый город
ВА102;Дерен;4011;222.8;1002.2;393;Ренальская провинция;Северная Велара;малый торговый город
ВА103;Санор;3965;229.0;914.8;397;Ренальская провинция;Северная Велара;малый торговый город
ВА104;Ноден;3933;774.7;415.8;157;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА105;Вилен;3837;724.8;412.9;213;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА106;Феран;3819;381.3;621.6;309;Даранская провинция;Центральная речная зона;малый торговый город
ВА107;Нелан;3765;670.0;879.5;346;Венирская провинция;Северная Велара;малый торговый город
ВА108;Одал;3653;672.9;842.9;312;Венирская провинция;Северная Велара;малый торговый город
ВА109;Ратар;3623;690.6;751.0;224;Венирская провинция;Северная Велара;малый торговый город
