ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
ВО001;Дарен;112000;582.6;539.8;558;Владение Дарен;Запад;укреплённый региональный центр
ВО002;Ирет;69944;1206.1;383.5;430;Владение Ирет;Восток;укреплённый региональный центр
ВО003;Увар;37756;298.2;894.6;717;Владение Урар;Запад;укреплённый региональный центр
ВО004;Девин;36166;610.2;614.1;576;Владение Дарен;Запад;укреплённый региональный центр
ВО005;Олвен;32816;1046.2;894.1;645;Владение Девон;Восток;укреплённый региональный центр
ВО006;Ремар;32787;645.5;595.2;529;Владение Дарен;Запад;укреплённый региональный центр
ВО007;Керан;31050;965.3;580.7;441;Владение Керан;Восток;укреплённый региональный центр
ВО008;Эндар;30477;984.5;740.4;492;Владение Керан;Восток;укреплённый региональный центр
ВО009;Мелин;29206;1154.1;395.9;403;Владение Ирет;Восток;пограничный/рыночный город
ВО010;Талес;27544;407.7;756.4;668;Владение Велен;Запад;пограничный/рыночный город
ВО011;Тердар;18412;745.2;558.5;368;Владение Дарен;Запад;пограничный/рыночный город
ВО012;Варлен;17934;930.8;484.6;409;Владение Керан;Восток;пограничный/рыночный город
ВО013;Ремлан;17191;1016.4;840.3;581;Владение Девон;Восток;пограничный/рыночный город
ВО014;Ирлан;10887;467.7;712.5;613;Владение Велен;Запад;пограничный/рыночный город
ВО015;Мелрен;10617;578.8;623.8;599;Владение Дарен;Запад;пограничный/рыночный город
ВО016;Велтал;10581;977.9;653.2;465;Владение Керан;Восток;пограничный/рыночный город
ВО017;Фарден;10570;1267.0;365.3;424;Владение Ирет;Восток;пограничный/рыночный город
ВО018;Умар;10547;995.2;451.8;388;Владение Керан;Восток;пограничный/рыночный город
ВО019;Девос;10283;1059.6;987.7;716;Владение Девон;Восток;пограничный/рыночный город
ВО020;Сардел;8529;952.4;537.7;426;Владение Керан;Восток;пограничный/рыночный город
ВО021;Энден;8374;1071.7;437.8;370;Владение Ирет;Восток;пограничный/рыночный город
ВО022;Касир;7920;318.0;848.9;729;Владение Урар;Запад;пограничный/рыночный город
ВО023;Йортен;7910;376.1;774.0;698;Владение Велен;Запад;пограничный/рыночный город
ВО024;Таллан;7838;1322.8;353.8;388;Владение Ирет;Восток;пограничный/рыночный город
ВО025;Дармар;7673;715.5;572.4;413;Владение Дарен;Запад;пограничный/рыночный город
ВО026;Керос;7287;415.4;737.2;648;Владение Велен;Запад;пограничный/рыночный город
ВО027;Эйор;6633;986.0;709.4;486;Владение Керан;Восток;пограничный/рыночный город
ВО028;Терлен;6626;822.7;524.9;331;Владение Керан;Запад;пограничный/рыночный город
ВО029;Олет;6119;1334.0;333.7;359;Владение Ирет;Восток;пограничный/рыночный город
ВО030;Варис;6006;1293.3;350.2;401;Владение Ирет;Восток;пограничный/рыночный город
ВО031;Ремден;5928;352.3;802.7;723;Владение Урар;Запад;пограничный/рыночный город
ВО032;Ирдел;5863;853.0;521.1;360;Владение Керан;Восток;пограничный/рыночный город
ВО033;Мелвар;5511;1243.3;367.8;430;Владение Ирет;Восток;пограничный/рыночный город
ВО034;Велден;4507;492.3;688.8;604;Владение Велен;Запад;пограничный/рыночный город
ВО035;Уран;4279;1052.8;927.9;671;Владение Девон;Восток;пограничный/рыночный город
ВО036;Девдар;4100;255.4;962.3;696;Владение Урар;Запад;пограничный/рыночный город
ВО037;Сарвен;4033;970.0;554.4;438;Владение Керан;Восток;пограничный/рыночный город
ВО038;Атен;3867;1016.0;445.0;378;Владение Керан;Восток;пограничный/рыночный город
ВО039;Касмар;3446;519.1;679.1;604;Владение Велен;Запад;пограничный/рыночный город
ВО040;Йорвен;3416;1055.8;957.2;693;Владение Девон;Восток;пограничный/рыночный город
ВО041;Талос;3367;304.8;874.9;722;Владение Урар;Запад;пограничный/рыночный город
ВО042;Дарлан;3000;571.0;653.6;603;Владение Дарен;Запад;пограничный/рыночный город
ВО043;Керор;3000;885.2;503.4;390;Владение Керан;Восток;пограничный/рыночный город
ВО044;Терсар;3000;987.6;675.0;480;Владение Керан;Восток;пограничный/рыночный город
ВО045;Олор;3000;1044.9;861.2;625;Владение Девон;Восток;пограничный/рыночный город
ВО046;Варос;3000;340.4;823.0;732;Владение Урар;Запад;пограничный/рыночный город
ВО047;Ремдел;3000;958.4;496.8;416;Владение Керан;Восток;пограничный/рыночный город
ВО048;Ирвен;3000;990.7;630.3;473;Владение Керан;Восток;пограничный/рыночный город
ВО049;Мелет;3000;1032.3;808.4;585;Владение Девон;Восток;пограничный/рыночный город
