ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
ИА001;Тешара;224000;393.6;417.0;199;Тешараская провинция;Побережье;речной или прибрежный центр
ИА002;Харим;146000;639.6;646.3;252;Харимская провинция;Внутренние равнины;речной или прибрежный центр
ИА003;Осея;118000;738.0;291.9;186;Осеяская провинция;Внутренние равнины;речной или прибрежный центр
ИА004;Савар;85112;325.1;207.6;30;Осеисаская провинция;Побережье;речной или прибрежный центр
ИА005;Амун;69670;348.5;113.4;10;Осеисаская провинция;Побережье;речной или прибрежный центр
ИА006;Варун;59539;680.6;537.8;247;Харимская провинция;Внутренние равнины;речной или прибрежный центр
ИА007;Ишим;56546;790.0;774.0;362;Ишимская провинция;Внутренние равнины;речной или прибрежный центр
ИА008;Нейат;48959;931.9;763.3;528;Кавемаская провинция;Хребет Каваш;речной или прибрежный центр
ИА009;Варим;47053;280.4;161.3;49;Осеисаская провинция;Побережье;речной или прибрежный центр
ИА010;Насар;46138;331.8;171.4;10;Осеисаская провинция;Побережье;речной или прибрежный центр
ИА011;Мейра;45289;438.5;341.5;120;Тешараская провинция;Внутренние равнины;речной или прибрежный центр
ИА012;Кавем;44237;296.5;103.9;17;Осеисаская провинция;Побережье;речной или прибрежный центр
ИА013;Рамей;40947;775.7;740.5;327;Ишимская провинция;Внутренние равнины;речной или прибрежный центр
ИА014;Ашимун;38793;980.0;810.1;579;Кавемаская провинция;Хребет Каваш;речной или прибрежный центр
ИА015;Вайра;35378;646.9;508.1;245;Харимская провинция;Внутренние равнины;речной или прибрежный центр
ИА016;Кашара;33738;288.0;219.3;66;Осеисаская провинция;Побережье;речной или прибрежный центр
ИА017;Лавар;28798;841.2;994.6;589;Лананская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА018;Тетар;26548;1036.5;879.5;609;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА019;Руйат;25903;719.3;584.6;252;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА020;Нешара;24495;359.9;263.4;50;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА021;Хамун;24272;860.0;704.7;419;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА022;Мерим;22970;733.1;618.7;257;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА023;Зейат;22477;834.4;929.0;527;Лананская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА024;Кирим;22342;811.5;841.7;435;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА025;Масай;20092;495.3;396.4;185;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА026;Осера;19298;783.7;613.9;299;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА027;Сарим;19114;802.9;651.8;328;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА028;Синар;18626;747.1;684.3;276;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА029;Тасай;17798;923.3;709.2;471;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА030;Джамир;17629;574.5;440.9;232;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА031;Шалан;17311;598.0;469.0;240;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА032;Рахан;15398;319.9;136.7;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА033;Ашисера;14774;257.8;136.2;64;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА034;Авен;14635;846.4;973.7;569;Лананская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА035;Каран;14463;821.9;950.2;548;Лананская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА036;Ламир;14396;895.3;700.7;447;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА037;Рувен;13845;828.1;665.7;360;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА038;Нерун;13083;748.5;655.9;271;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА039;Ирун;12993;308.7;220.5;50;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА040;Насера;12922;927.8;743.1;508;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА041;Мемир;12492;763.6;618.9;283;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА042;Зевар;12210;814.8;913.0;507;Лананская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА043;Кимир;12203;904.6;736.2;486;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА044;Мавен;11980;311.2;83.8;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА045;Омир;11967;383.9;280.1;58;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА046;Салан;11883;932.2;783.5;542;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА047;Сиран;11863;757.6;713.7;296;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА048;Тайра;11724;821.0;887.4;483;Лананская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА049;Джавар;11163;299.4;180.8;38;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА050;Шатар;11017;399.2;314.0;89;Тешараская провинция;Побережье;земледельческий/ремесленный город
ИА051;Ралан;10422;781.1;647.7;303;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА052;Аширан;9686;612.8;489.2;241;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА053;Айра;9402;765.2;672.1;290;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА054;Васай;9369;542.7;448.2;226;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА055;Кахан;9362;423.8;327.5;104;Тешараская провинция;Побережье;земледельческий/ремесленный город
ИА056;Лайат;8755;791.4;799.1;382;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
