ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
КЕ001;Карден;94000;668.7;274.2;1330;Карденская палата;Южные долины;горно-инженерный центр
КЕ002;Дорвек;72000;458.2;424.6;1845;Дорвекская палата;Южные долины;горно-инженерный центр
КЕ003;Варкел;61000;792.5;459.9;1469;Варкелская палата;Южные долины;горно-инженерный центр
КЕ004;Харден;54000;371.5;601.5;2107;Харденская палата;Высокогорья;горно-инженерный центр
КЕ005;Векмор;30829;694.8;304.4;1319;Векморская палата;Южные долины;долинный рынок
КЕ006;Торвен;29237;749.8;382.6;1297;Варкелская палата;Южные долины;долинный рынок
КЕ007;Гронкар;28315;702.3;344.9;1360;Векморская палата;Южные долины;долинный рынок
КЕ008;Беласт;22346;592.0;214.6;1345;Карденская палата;Южные долины;долинный рынок
КЕ009;Форден;20877;578.0;271.0;1451;Карденская палата;Южные долины;долинный рынок
КЕ010;Бранек;18382;524.0;335.8;1576;Дорвекская палата;Южные долины;долинный рынок
КЕ011;Морден;17917;826.5;555.8;1693;Варкелская палата;Высокогорья;шахтный/перевальный город
КЕ012;Арнир;12810;482.3;425.2;1819;Дорвекская палата;Южные долины;долинный рынок
КЕ013;Харвер;11844;724.9;316.7;1258;Векморская палата;Южные долины;долинный рынок
КЕ014;Скардан;9586;419.6;557.2;2044;Харденская палата;Высокогорья;шахтный/перевальный город
КЕ015;Ренгар;8522;679.3;163.9;1069;Карденская палата;Южные долины;долинный рынок
КЕ016;Гартар;8205;724.7;366.6;1334;Векморская палата;Южные долины;долинный рынок
КЕ017;Ардор;8137;467.0;465.3;1917;Дорвекская палата;Южные долины;долинный рынок
КЕ018;Гронмор;8041;790.5;530.0;1564;Варкелская палата;Высокогорья;шахтный/перевальный город
КЕ019;Келкар;6879;756.5;437.5;1379;Варкелская палата;Южные долины;долинный рынок
КЕ020;Тортар;6337;704.8;321.9;1321;Векморская палата;Южные долины;долинный рынок
КЕ021;Дорнир;5196;768.3;455.2;1421;Варкелская палата;Южные долины;долинный рынок
КЕ022;Морнар;4638;788.0;500.7;1520;Варкелская палата;Высокогорья;шахтный/перевальный город
КЕ023;Белдор;4444;748.8;362.6;1266;Векморская палата;Южные долины;долинный рынок
КЕ024;Векрик;4210;690.8;283.8;1294;Векморская палата;Южные долины;долинный рынок
КЕ025;Бранвен;3932;773.9;420.5;1382;Варкелская палата;Южные долины;долинный рынок
КЕ026;Драмнар;3856;764.4;397.2;1335;Варкелская палата;Южные долины;долинный рынок
КЕ027;Вардек;3460;489.4;386.2;1721;Дорвекская палата;Южные долины;долинный рынок
КЕ028;Картар;3000;815.1;574.7;1692;Варкелская палата;Высокогорья;шахтный/перевальный город
КЕ029;Харвен;3000;684.5;261.8;1269;Карденская палата;Южные долины;долинный рынок
КЕ030;Скардек;3000;622.3;168.5;1194;Карденская палата;Южные долины;долинный рынок
КЕ031;Ренвен;3000;674.1;195.1;1151;Карденская палата;Южные долины;долинный рынок
КЕ032;Фордор;3000;509.8;376.9;1673;Дорвекская палата;Южные долины;долинный рынок
КЕ033;Арвек;3000;600.8;232.6;1369;Карденская палата;Южные долины;долинный рынок
КЕ034;Келмор;3000;445.5;457.9;1918;Дорвекская палата;Южные долины;долинный рынок
