ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
СО001;Аурелл;268000;630.0;294.0;337;Ауреллская провинция;Центр и юг;речной/садовый торговый центр
СО002;Солена;182000;826.8;525.0;239;Соленаская провинция;Центр и юг;речной/садовый торговый центр
СО003;Кармея;139000;406.8;493.5;430;Кармеяская провинция;Побережья/реки;речной/садовый торговый центр
СО004;Вароса;112000;944.9;262.5;227;Варосаская провинция;Центр и юг;речной/садовый торговый центр
СО005;Велира;96849;884.0;828.9;380;Верираская провинция;Северные долины;речной/садовый торговый центр
СО006;Лусаль;90989;812.9;596.0;247;Соленаская провинция;Центр и юг;речной/садовый торговый центр
СО007;Меретта;90785;995.3;758.0;493;Альанияская провинция;Северные долины;речной/садовый торговый центр
СО008;Калено;84644;850.8;703.6;288;Верираская провинция;Центр и юг;речной/садовый торговый центр
СО009;Росена;76869;659.5;479.6;329;Соленаская провинция;Центр и юг;речной/садовый торговый центр
СО010;Белара;73005;757.2;536.3;275;Соленаская провинция;Центр и юг;речной/садовый торговый центр
СО011;Лумера;70899;901.8;654.6;339;Соленаская провинция;Центр и юг;речной/садовый торговый центр
СО012;Савора;56181;468.1;677.6;481;Делароская провинция;Центр и юг;речной/садовый торговый центр
СО013;Ротала;55178;573.9;476.8;371;Кармеяская провинция;Центр и юг;речной/садовый торговый центр
СО014;Новесена;50477;896.3;906.1;437;Верираская провинция;Северные долины;речной/садовый торговый центр
СО015;Велера;49463;826.8;653.2;249;Соленаская провинция;Центр и юг;речной/садовый торговый центр
СО016;Терел;49240;355.6;816.3;561;Мерезеская провинция;Северные долины;речной/садовый торговый центр
СО017;Левера;47599;322.2;880.4;581;Мерезеская провинция;Северные долины;речной/садовый торговый центр
СО018;Мелия;47397;402.5;779.6;505;Делароская провинция;Северные долины;речной/садовый торговый центр
СО019;Калелена;45083;652.6;127.2;178;Ауреллская провинция;Центр и юг;речной/садовый торговый центр
СО020;Фавел;41073;520.0;621.7;491;Делароская провинция;Центр и юг;речной/садовый торговый центр
СО021;Орелера;38527;281.8;913.8;555;Мерезеская провинция;Северные долины;речной/садовый торговый центр
СО022;Сасера;38289;948.7;695.5;411;Верираская провинция;Центр и юг;речной/садовый торговый центр
СО023;Сетала;36772;649.7;168.0;226;Ауреллская провинция;Центр и юг;речной/садовый торговый центр
СО024;Дена;35106;611.7;380.4;343;Ауреллская провинция;Центр и юг;речной/садовый торговый центр
СО025;Тасера;32553;616.6;328.1;342;Ауреллская провинция;Центр и юг;речной/садовый торговый центр
СО026;Бесера;31461;885.1;791.8;366;Верираская провинция;Северные долины;речной/садовый торговый центр
СО027;Авелена;31340;472.2;723.5;469;Делароская провинция;Северные долины;речной/садовый торговый центр
СО028;Кария;31001;363.4;853.9;572;Мерезеская провинция;Северные долины;речной/садовый торговый центр
СО029;Масера;30159;622.9;232.7;301;Ауреллская провинция;Центр и юг;речной/садовый торговый центр
СО030;Каремара;29563;615.8;421.7;344;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО031;Лутора;29553;262.7;946.5;538;Мерезеская провинция;Северные долины;винодельческий/ремесленный город
СО032;Солемера;29211;477.2;637.0;493;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО033;Ватора;25204;884.6;750.1;352;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО034;Ланета;22138;428.2;754.2;478;Делароская провинция;Северные долины;винодельческий/ремесленный город
СО035;Илевена;20814;907.6;1001.9;508;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО036;Аутина;20719;853.0;611.6;274;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО037;Ролия;20615;525.6;558.5;468;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО038;Новерел;18611;912.2;946.3;470;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО039;Вена;18475;690.2;497.7;314;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО040;Терия;18036;573.8;518.4;395;Кармеяская провинция;Центр и юг;винодельческий/ремесленный город
СО041;Лелора;17518;433.7;712.4;471;Делароская провинция;Побережья/реки;винодельческий/ремесленный город
СО042;Метина;16695;790.2;565.9;256;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО043;Калетина;16662;1041.1;804.6;540;Альанияская провинция;Северные долины;винодельческий/ремесленный город
СО044;Фария;16251;1057.3;836.6;557;Альанияская провинция;Северные долины;винодельческий/ремесленный город
СО045;Оредара;15861;1003.0;816.6;528;Альанияская провинция;Северные долины;винодельческий/ремесленный город
СО046;Сатора;15171;492.7;596.2;495;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО047;Сарелла;14978;649.2;444.7;340;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО048;Десена;14889;715.5;502.0;304;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО049;Тарена;14884;1015.9;795.3;528;Альанияская провинция;Северные долины;винодельческий/ремесленный город
СО050;Бенета;14764;304.2;909.0;569;Мерезеская провинция;Северные долины;винодельческий/ремесленный город
СО051;Аветора;14762;546.3;531.8;432;Кармеяская провинция;Центр и юг;винодельческий/ремесленный город
СО052;Фаверна;14756;454.7;708.1;472;Делароская провинция;Побережья/реки;винодельческий/ремесленный город
СО053;Мадара;14638;903.9;826.5;406;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО054;Каремера;14612;767.8;574.3;259;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО055;Лусса;14461;1004.6;775.7;511;Альанияская провинция;Северные долины;винодельческий/ремесленный город
СО056;Вария;14381;617.4;359.4;345;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО057;Лана;14355;681.6;470.5;327;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО058;Илесса;14233;833.5;675.9;259;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО059;Аумара;13935;592.8;323.4;329;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО060;Ровел;13907;784.2;588.8;252;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО061;Новевия;13779;807.7;660.8;243;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО062;Ветина;13766;447.2;728.0;470;Делароская провинция;Северные долины;винодельческий/ремесленный город
СО063;Тетала;13721;596.9;397.8;340;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО064;Лерена;13591;506.6;641.4;494;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО065;Мевена;13490;890.4;929.4;451;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО066;Делвена;13307;539.1;607.6;478;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО067;Фарена;12908;933.5;988.3;497;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО068;Оресера;12571;627.3;268.8;325;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО069;Савел;12545;950.6;749.0;448;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО070;Серел;12330;937.4;663.7;375;Верираская провинция;Центр и юг;винодельческий/ремесленный город
СО071;Дерена;12237;974.4;732.2;460;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО072;Тамера;12199;913.3;674.0;362;Верираская провинция;Центр и юг;винодельческий/ремесленный город
СО073;Берия;12083;881.3;639.5;310;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО074;Авесера;11630;897.4;858.8;411;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО075;Катала;11596;643.8;411.5;347;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО076;Малора;10688;415.1;728.0;477;Делароская провинция;Северные долины;винодельческий/ремесленный город
СО077;Оресса;10609;818.2;620.8;245;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО078;Лунета;10486;890.5;718.4;352;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО079;Солетала;10227;424.3;783.7;489;Делароская провинция;Северные долины;винодельческий/ремесленный город
СО080;Вадара;10160;378.4;809.4;541;Мерезеская провинция;Северные долины;винодельческий/ремесленный город
СО081;Лавесса;10133;250.8;967.2;532;Мерезеская провинция;Северные долины;винодельческий/ремесленный город
СО082;Илетала;10105;739.5;509.7;292;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО083;Аулера;10027;1062.9;864.9;565;Альанияская провинция;Северные долины;винодельческий/ремесленный город
СО084;Ровера;9973;654.6;263.0;317;Ауреллская провинция;Центр и юг;винодельческий/ремесленный город
СО085;Новерия;9261;861.0;684.0;299;Верираская провинция;Центр и юг;винодельческий/ремесленный город
СО086;Тесена;9027;551.9;556.7;443;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО087;Мерел;8917;872.5;728.9;327;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО088;Лусена;8912;409.9;801.5;509;Мерезеская провинция;Северные долины;винодельческий/ремесленный город
СО089;Фанета;8757;908.6;979.6;492;Верираская провинция;Северные долины;винодельческий/ремесленный город
СО090;Оретора;8588;490.7;664.0;489;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО091;Савена;8391;701.9;461.2;325;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО092;Сесса;7989;347.1;879.1;582;Мерезеская провинция;Северные долины;винодельческий/ремесленный город
СО093;Делора;7719;777.1;549.9;264;Соленаская провинция;Центр и юг;винодельческий/ремесленный город
СО094;Талия;7684;1089.2;863.8;561;Альанияская провинция;Северные долины;винодельческий/ремесленный город
СО095;Белия;7612;527.4;579.3;477;Делароская провинция;Центр и юг;винодельческий/ремесленный город
СО096;Аветала;7569;885.2;886.4;416;Верираская провинция;Северные долины;винодельческий/ремесленный город
