ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
ЛА001;Ордан;66000;765.4;576.5;586;Орданская земля;Северная степь;караванно-речной узел
ЛА002;Харун;57000;1200.3;417.5;308;Харунская земля;Южная степь;караванно-речной узел
ЛА003;Аркар;26186;657.1;610.8;622;Аркарская земля;Северная степь;караванно-речной узел
ЛА004;Малор;22261;245.4;703.0;536;Малорская земля;Северная степь;караванно-речной узел
ЛА005;Эрким;10883;531.1;641.6;576;Эркимская земля;Северная степь;степной торговый городок
ЛА006;Джалор;9327;1401.3;406.3;315;Харунская земля;Южная степь;степной торговый городок
ЛА007;Калир;9161;804.0;587.6;558;Орданская земля;Северная степь;степной торговый городок
ЛА008;Куран;8806;941.1;539.1;457;Орданская земля;Северная степь;степной торговый городок
ЛА009;Джалан;7168;441.1;644.2;571;Эркимская земля;Северная степь;степной торговый городок
ЛА010;Саран;5651;787.6;573.4;566;Орданская земля;Северная степь;степной торговый городок
ЛА011;Нарак;4604;165.5;719.2;455;Малорская земля;Северная степь;степной торговый городок
ЛА012;Урлан;3691;480.3;655.9;580;Эркимская земля;Северная степь;степной торговый городок
ЛА013;Терак;3262;886.4;559.4;479;Орданская земля;Северная степь;степной торговый городок
ЛА014;Калун;3000;914.5;555.8;464;Орданская земля;Северная степь;степной торговый городок
ЛА015;Харак;3000;1038.1;508.9;457;Харунская земля;Северная степь;степной торговый городок
