ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
НЕ001;Нерасса;151000;221.4;413.6;152;Нерассаский островной округ;Острова;островной порт
НЕ002;Маорин;134000;524.5;255.7;91;Маоринский островной округ;Южные острова;островной порт
НЕ003;Тейра;121000;734.3;488.8;147;Тейраский островной округ;Острова;островной порт
НЕ004;Навара;69134;315.1;193.1;30;Маоайский островной округ;Южные острова;островной порт
НЕ005;Арулис;62919;898.1;442.8;11;Арулисский островной округ;Острова;островной порт
НЕ006;Танири;48851;597.8;211.1;168;Маоринский островной округ;Южные острова;островной порт
НЕ007;Ориано;42289;729.9;111.9;104;Ориароский островной округ;Южные острова;островной порт
НЕ008;Навей;41665;917.5;371.7;2;Арулисский островной округ;Острова;островной порт
НЕ009;Марей;40912;301.2;258.9;92;Маоайский островной округ;Южные острова;островной порт
НЕ010;Ирэла;37112;331.2;230.1;55;Маоайский островной округ;Южные острова;островной порт
НЕ011;Аруна;36959;838.2;588.8;177;Сейеиский островной округ;Острова;островной порт
НЕ012;Лаоре;35191;530.0;191.5;99;Маоринский островной округ;Южные острова;островной порт
НЕ013;Нерона;34939;639.5;528.5;154;Тейраский островной округ;Острова;островной порт
НЕ014;Ирелори;28758;232.9;479.1;250;Нерассаский островной округ;Острова;островной порт
НЕ015;Мавири;27565;1001.0;334.1;120;Арулисский островной округ;Острова;островной порт
НЕ016;Валена;26933;834.4;537.0;172;Сейеиский островной округ;Острова;островной порт
НЕ017;Элалис;23901;198.7;498.4;263;Нерассаский островной округ;Острова;островной порт
НЕ018;Тейрона;21188;883.2;517.7;115;Арулисский островной округ;Острова;островной порт
НЕ019;Оралис;19355;186.1;459.1;212;Нерассаский островной округ;Острова;островной порт
НЕ020;Лимей;15759;268.8;402.4;137;Нерассаский островной округ;Острова;островной порт
НЕ021;Терей;15152;652.3;130.9;78;Ориароский островной округ;Южные острова;островной порт
НЕ022;Нарона;14303;590.2;446.6;116;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ023;Сарона;12348;450.6;240.8;2;Маоринский островной округ;Южные острова;островной городок/промысловый порт
НЕ024;Талано;11690;355.4;291.5;108;Маоайский островной округ;Острова;островной городок/промысловый порт
НЕ025;Селори;11379;636.6;195.7;149;Ориароский островной округ;Южные острова;островной городок/промысловый порт
НЕ026;Арутано;10479;731.6;519.1;152;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ027;Орирасса;10271;120.6;241.7;36;Нерассаский островной округ;Южные острова;островной городок/промысловый порт
НЕ028;Лавей;10146;502.7;550.2;69;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ029;Ретари;9253;310.9;504.0;224;Нерассаский островной округ;Острова;островной городок/промысловый порт
НЕ030;Кавара;9211;487.8;508.7;82;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ031;Мивири;8819;680.0;277.9;173;Маоринский островной округ;Южные острова;островной городок/промысловый порт
НЕ032;Нерин;8621;607.6;497.1;136;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ033;Ирелис;8564;707.8;546.5;164;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ034;Мари;8553;317.4;384.7;145;Нерассаский островной округ;Острова;островной городок/промысловый порт
НЕ035;Ватано;8518;475.0;269.9;22;Маоринский островной округ;Южные острова;островной городок/промысловый порт
НЕ036;Элатано;8303;433.6;324.2;77;Маоринский островной округ;Острова;островной городок/промысловый порт
НЕ037;Тейсса;7210;343.1;491.2;176;Нерассаский островной округ;Острова;островной городок/промысловый порт
НЕ038;Орарасса;6726;484.3;309.1;51;Маоринский островной округ;Острова;островной городок/промысловый порт
НЕ039;Ливей;6425;777.5;490.1;162;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ040;Терела;5880;719.6;168.6;92;Ориароский островной округ;Южные острова;островной городок/промысловый порт
НЕ041;Нарасса;5673;212.8;337.5;66;Нерассаский островной округ;Острова;островной городок/промысловый порт
НЕ042;Сарин;5637;547.4;214.0;128;Маоринский островной округ;Южные острова;островной городок/промысловый порт
НЕ043;Севара;5613;607.3;611.9;215;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ044;Арунира;5093;860.3;236.1;13;Ориароский островной округ;Южные острова;островной городок/промысловый порт
НЕ045;Орилори;4550;582.0;128.8;76;Маоринский островной округ;Южные острова;островной городок/промысловый порт
НЕ046;Лари;4423;986.1;396.0;111;Арулисский островной округ;Острова;островной городок/промысловый порт
НЕ047;Ретано;4104;451.8;337.2;65;Маоринский островной округ;Острова;островной городок/промысловый порт
НЕ048;Кавей;4064;363.1;543.6;164;Нерассаский островной округ;Острова;островной городок/промысловый порт
НЕ049;Милина;4052;972.0;375.4;78;Арулисский островной округ;Острова;островной городок/промысловый порт
НЕ050;Невара;3939;678.5;181.0;112;Ориароский островной округ;Южные острова;островной городок/промысловый порт
НЕ051;Иререла;3763;919.3;391.7;2;Арулисский островной округ;Острова;островной городок/промысловый порт
НЕ052;Варела;3720;427.0;197.9;2;Маоайский островной округ;Южные острова;островной городок/промысловый порт
НЕ053;Эласса;3690;929.6;558.6;108;Сейеиский островной округ;Острова;островной городок/промысловый порт
НЕ054;Тейлена;3368;550.3;458.3;128;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ055;Орарона;3030;743.5;558.6;175;Тейраский островной округ;Острова;островной городок/промысловый порт
НЕ056;Лилано;3000;1016.3;366.0;162;Арулисский островной округ;Острова;островной городок/промысловый порт
НЕ057;Тевири;3000;615.9;283.3;189;Маоринский островной округ;Южные острова;островной городок/промысловый порт
НЕ058;Налина;3000;969.4;311.5;61;Арулисский островной округ;Острова;островной городок/промысловый порт
НЕ059;Сарела;3000;486.5;172.1;29;Маоринский островной округ;Южные острова;островной городок/промысловый порт
НЕ060;Танира;3000;602.3;300.0;173;Маоринский островной округ;Острова;островной городок/промысловый порт
НЕ061;Арурасса;3000;383.7;208.8;2;Маоайский островной округ;Южные острова;островной городок/промысловый порт
НЕ062;Оривей;3000;574.6;298.8;147;Маоринский островной округ;Острова;островной городок/промысловый порт
НЕ063;Лавара;3000;384.3;264.3;56;Маоайский островной округ;Южные острова;островной городок/промысловый порт
