ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
РИ001;Вейра;158000;230.2;701.3;228;Республика Вейра;Побережье;океанский порт
РИ002;Кассер;140000;178.2;391.9;18;Республика Кассер;Побережье;океанский порт
РИ003;Невен;135603;161.3;232.2;76;Республика Невсер;Побережье;океанский порт
РИ004;Мересса;132000;274.7;206.3;99;Республика Невсер;Побережье;океанский порт
РИ005;Дориал;119000;401.0;567.2;244;Республика Дориал;Побережье;океанский порт
РИ006;Фалрен;108000;326.7;856.0;224;Республика Фалрен;Побережье;океанский порт
РИ007;Мариаль;103000;482.7;340.3;269;Республика Остранд;Внутренний кряж;океанский порт
РИ008;Арвен;78317;210.8;189.6;27;Республика Невсер;Побережье;торгово-ремесленный город
РИ009;Лисар;75719;174.7;128.4;38;Республика Невсер;Побережье;океанский порт
РИ010;Эстен;62854;188.4;314.3;97;Республика Кассер;Побережье;торгово-ремесленный город
РИ011;Орис;60668;405.5;303.9;326;Республика Остранд;Побережье;торгово-ремесленный город
РИ012;Ивар;59792;473.0;612.1;312;Республика Дориал;Внутренний кряж;торгово-ремесленный город
РИ013;Фаден;59107;356.8;514.1;255;Республика Дориал;Побережье;торгово-ремесленный город
РИ014;Меран;45067;154.2;297.1;72;Республика Невсер;Побережье;океанский порт
РИ015;Наран;43666;117.0;183.3;93;Республика Невсер;Побережье;океанский порт
РИ016;Тарон;43097;229.5;393.3;174;Республика Кассер;Побережье;торгово-ремесленный город
РИ017;Ардал;40769;219.3;238.3;47;Республика Невсер;Побережье;торгово-ремесленный город
РИ018;Мадал;40569;164.0;173.8;61;Республика Невсер;Побережье;торгово-ремесленный город
РИ019;Нолис;39691;116.7;226.1;75;Республика Невсер;Побережье;океанский порт
РИ020;Несен;39582;179.3;91.1;32;Республика Невсер;Побережье;океанский порт
РИ021;Селис;36803;203.4;350.9;123;Республика Кассер;Побережье;торгово-ремесленный город
РИ022;Эслис;35689;436.8;591.6;264;Республика Дориал;Внутренний кряж;торгово-ремесленный город
РИ023;Каслен;31935;565.4;318.8;330;Республика Остранд;Внутренний кряж;торгово-ремесленный город
РИ024;Кавир;31376;526.4;685.2;419;Республика Дориал;Внутренний кряж;торгово-ремесленный город
РИ025;Вейрис;30695;210.0;143.3;21;Республика Невсер;Побережье;торгово-ремесленный город
РИ026;Асен;30281;594.6;756.3;518;Республика Дориал;Внутренний кряж;торгово-ремесленный город
РИ027;Фенер;30162;611.4;789.7;530;Республика Фалрен;Внутренний кряж;торгово-ремесленный город
