ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
СА001;Эйран;114000;437.1;444.1;1247;Эйранский кантон;Южные склоны;долинный административный центр
СА002;Эйлас;85081;622.2;270.3;893;Эйорский кантон;Южные склоны;долинный административный центр
СА003;Серрел;50082;560.5;352.6;1110;Серрелский кантон;Южные склоны;долинный административный центр
СА004;Мейран;49498;462.0;498.6;1278;Эйранский кантон;Южные склоны;долинный административный центр
СА005;Вейран;44514;188.9;764.2;1569;Норелский кантон;Высокие долины;долинный административный центр
СА006;Лорай;38794;277.1;638.4;1460;Лорарский кантон;Высокие долины;долинный административный центр
СА007;Тейрал;29549;671.3;210.0;817;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА008;Эрел;25036;609.4;552.3;1200;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА009;Эрис;21396;706.5;722.3;1387;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА010;Райел;20179;713.7;139.9;705;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА011;Сарен;18068;696.2;683.1;1346;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА012;Нирель;16878;639.5;607.3;1250;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА013;Асай;16252;489.4;423.8;1197;Эйранский кантон;Южные склоны;высокогорный/аграрный город
СА014;Вейнир;14439;346.6;571.7;1432;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА015;Сетар;13642;463.2;434.9;1215;Эйранский кантон;Южные склоны;высокогорный/аграрный город
СА016;Сарел;12140;211.9;733.1;1580;Норелский кантон;Высокие долины;высокогорный/аграрный город
СА017;Эймир;11866;636.8;249.3;860;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА018;Танел;10347;483.1;499.8;1249;Эйранский кантон;Южные склоны;высокогорный/аграрный город
СА019;Минел;10305;429.3;471.6;1292;Эйранский кантон;Южные склоны;высокогорный/аграрный город
СА020;Лейтел;10249;394.5;510.4;1386;Эйранский кантон;Высокие долины;высокогорный/аграрный город
СА021;Орлас;9800;683.3;662.4;1321;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА022;Нинар;9567;535.9;372.0;1158;Серрелский кантон;Южные склоны;высокогорный/аграрный город
СА023;Мейтар;8899;170.4;771.9;1543;Норелский кантон;Высокие долины;высокогорный/аграрный город
СА024;Тейтар;8846;261.0;651.0;1484;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА025;Лоран;8465;294.0;599.4;1412;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА026;Илар;8331;716.0;686.8;1350;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА027;Эвир;8087;600.0;301.4;966;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА028;Райлас;7952;423.6;494.5;1331;Эйранский кантон;Южные склоны;высокогорный/аграрный город
СА029;Сайран;7371;330.3;589.8;1429;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА030;Ренар;7245;556.3;380.3;1140;Серрелский кантон;Южные склоны;высокогорный/аграрный город
СА031;Арас;7182;578.3;325.8;1045;Серрелский кантон;Южные склоны;высокогорный/аграрный город
СА032;Вейтел;6815;443.1;487.1;1293;Эйранский кантон;Южные склоны;высокогорный/аграрный город
СА033;Сенел;6698;661.0;673.2;1325;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА034;Сарас;6453;682.9;173.1;789;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА035;Эйтар;6319;297.6;637.6;1455;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА036;Тарей;6234;175.1;794.4;1567;Норелский кантон;Высокие долины;высокогорный/аграрный город
СА037;Мирей;6059;263.4;711.7;1573;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА038;Лейлас;6029;239.2;686.7;1543;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА039;Ортел;5923;586.1;553.9;1204;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА040;Нимир;4190;502.3;405.9;1187;Эйранский кантон;Южные склоны;высокогорный/аграрный город
СА041;Тейнел;3405;627.6;293.4;902;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА042;Ломир;3398;666.0;234.9;827;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА043;Ирелан;3351;577.5;292.2;1004;Эйорский кантон;Южные склоны;высокогорный/аграрный город
СА044;Этел;3066;341.1;551.1;1417;Лорарский кантон;Высокие долины;высокогорный/аграрный город
СА045;Сайлен;3000;551.8;515.1;1196;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА046;Ресай;3000;681.1;709.2;1370;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА047;Анар;3000;496.5;528.7;1255;Эйранский кантон;Высокие долины;высокогорный/аграрный город
СА048;Веймар;3000;523.9;517.8;1216;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА049;Сател;3000;606.5;585.2;1224;Норанский кантон;Высокие долины;высокогорный/аграрный город
СА050;Эйнар;3000;669.2;640.7;1293;Норанский кантон;Высокие долины;высокогорный/аграрный город
