Код;Регион;Климат;Осадки_ориентир;Растительность;Ключевая экономика
B01;Высокий Келмар;альпийский/субальпийский;500–1200 мм, много снега;луга, кустарники, скалы;пастбища, добыча
B02;Келмарские леса;прохладный влажный;600–1200 мм;хвойные/смешанные леса;лес, сыр, животноводство
B03;Рианское побережье;океанический умеренный;900–1800 мм;влажный смешанный лес;морская торговля, лес, рыба
B04;Велара;умеренный континентальный;500–900 мм;лесостепь/поймы;зерно, молочное
B06;Сольвия;тёплый умеренный;350–900 мм сезонно;сухие леса/кустарники;сады, виноград, масла
B07;Лаор;степной;250–550 мм;травянистая степь;пастбища, лошади
B08;Саэр;высотный мозаичный;500–1400 мм;леса/луга/плато;орехи, сыр, травы
B09;Восточные Марки;континентальный;350–750 мм;лесостепь;зерно, смешанное хозяйство
B10;Нерай;тёплый морской;1000–3000 мм локально;влажные островные леса;рыба, фрукты, морская торговля
B11;Элвар;влажный умеренный;900–1600 мм;старовозрастный лес;ограниченный сбор/лесные продукты
B12;Белая Чаша;мозаичный;следует макроклимату, локально нарушен;мозаика;ограниченное заселение/исследования
