Материал;Класс;σv;Cv;ζv;Sc;Qv;Механика;Главная роль;Редкость
Керит;минерал;средняя;низкая;средняя;очень высокая;средняя;высокая в сплаве;стабилизация;редкий
Веллит;минерал;очень высокая;низкая;низкая;низкая;средняя;низкая;проводник;обычный/региональный
Селен;минерал;средняя;очень высокая;средняя;средняя;средняя;низкая;буфер;умеренно редкий
Мералит;керамика;низкая;низкая;очень высокая;средняя;низкая;хрупкая;демпфер;обычный промышленный
Люмент;стекло;средняя;низкая;низкая;низкая;очень высокая для Люмена;хрупкая;оптика;дорогой
Терал;керамика;средняя для Термы;низкая;средняя;средняя;высокая для Термы;термостойкая;тепловая техника;обычный
Аверин;металл;высокая;низкая;низкая;средняя;очень высокая;мягкий;резонатор;дорогой
Дарн;сплав;средняя;низкая;средняя;средняя;высокая механическая;очень высокая;Импульс/опора;обычный
Нерил;органика;очень низкая;низкая;средняя;низкая;низкая;гибкая;изоляция;дешёвый
Орель;композит;очень низкая;низкая;средняя;низкая;низкая;средняя;изоляция/герметизация;дешёвый
Саэрин;слоистая керамика;анизотропная;средняя;средняя;средняя;высокая;средняя;направление сигнала;региональный
Риал;стеклокерамика;средняя;средняя;высокая;средняя;высокая;высокая;морская техника;дорогой
Сольвер;сплав;высокая для Термы/Люмена;низкая;низкая;низкая;высокая;средняя;тепло/свет;обычный дорогой
Эйдорское белое стекло;древний материал;высокая;средняя;высокая;очень высокая;очень высокая;средняя;глубокая техника;утраченный
Витрен;стеклокерамика;средняя для Виты;низкая;средняя;средняя;высокая биологическая;хрупкая;медицина;дорогой
Лейвенский серый сплав;сплав;средняя;низкая;средняя;высокая;средняя;высокая;массовая стабилизация;распространённый
Кельская бронза;сплав;средняя;низкая;высокая;средняя;средняя;высокая;горная техника;региональный
Нирен;камень;очень низкая;низкая;высокая;средняя;низкая;низкая;минеральная изоляция;обычный
Эхолит;аномальный минерал;средняя;высокая;низкая;высокая;экстремальная для Эха;низкая;Эхо-сенсор;очень редкий
Таль;кристалл;средняя;низкая;низкая;средняя;очень высокая механическая;низкая;частотный эталон;умеренный
