Материал;sigma_v_rel;Cv_rel;zeta_v_rel;Sc_rel;Q_role;Q_rel;Fsat_rel;Комментарий
Керит;0.18;0.06;0.62;45.0;причинная стабилизация;0.7;0.45;"сильный стабилизатор; плохой буфер"
Веллит;1.0;0.08;0.1;0.35;общий проводник;0.8;1.0;эталон проводимости
Селен;0.42;1.0;0.35;1.2;буферизация;0.75;0.5;эталон ёмкости
Мералит;0.08;0.04;1.0;1.6;демпфирование;0.35;0.2;эталон демпфирования
Люмент;0.38;0.05;0.12;0.8;Люмен;1.0;0.35;оптический эталон
Терал;0.3;0.04;0.28;1.5;Терма;0.92;0.7;тепловая техника
Эварит;0.68;0.1;0.08;0.95;Резонанс;0.98;0.45;точные резонаторы
Дарн;0.35;0.05;0.4;1.8;Импульс;0.9;1.3;реакционные опоры
Нерил;0.015;0.03;0.32;0.25;изоляция;0.2;0.08;органический изолятор
Орель;0.01;0.02;0.38;0.4;изоляция/герметизация;0.15;0.1;смоляной композит
Саэрин_вдоль;0.72;0.35;0.28;1.2;направленный канал;0.9;0.65;анизотропный
Саэрин_поперёк;0.045;0.2;0.45;1.2;изоляция поперёк;0.25;0.15;анизотропный
Риал;0.4;0.3;0.62;1.7;морской Резонанс;0.9;0.55;влага/соль
Сольвер;0.55;0.08;0.12;0.7;Терма+Люмен;0.88;0.95;тепло и свет
Эйдорское белое стекло;0.62;0.3;0.72;18.0;Континуум/Резонанс;0.95;0.85;утраченная технология
Витрен;0.28;0.08;0.4;1.3;Вита;0.95;0.3;биосовместимость
Лейвенский серый сплав;0.32;0.07;0.45;4.5;общая стабилизация;0.65;1.1;массовый инженерный сплав
Кельская бронза;0.3;0.06;0.58;2.0;горная механика;0.6;0.95;мороз/удары
Нирен;0.02;0.03;0.75;0.85;изоляция;0.18;0.12;минеральный изолятор
Эхолит;0.36;0.7;0.1;3.0;Эхо;1.0;0.2;опасный сенсорный материал
Таль;0.35;0.05;0.06;1.1;механический Резонанс;1.0;0.25;частотный эталон
