Код;Название;Функция;Типовые материалы
R;Референс;задаёт опорное состояние;керит, серый сплав, таль+эварит
S;Сенсор;слабо измеряет объект;веллит, люмент, витрен, эхолит
L;Линия;передаёт Fv;веллит, саэрин, сплавы
C;Компаратор;сравнивает S и R;эварит, таль, многослойная геометрия
T;Порог;включает реакцию выше порога;бистабильный узел
H;Гистерезис;разные пороги включения/выключения;упругий/резонансный узел
F;Ограничитель потока;ограничивает Fv;узкий канал, мералит
D;Ограничитель Разности;ограничивает A_safe;геометрический контур
B;Буфер;хранит Bv;селен
Z;Демпфер;подавляет паразитные моды;мералит, нирен
A;Исполнитель;связывает управление с физической системой;зависит от школы
X;Аварийный разрыв;размыкает связь;хрупкая вставка, механический разрыв
