Среда/канал;K_rel;lambda_v_typical;attenuation_character;notes
Свободное пространство, общий режим;0.01;0.5–3 м;сильное;без резонансного согласования
Воздух, механический Импульс;0.03;1–5 м;сильное;связь через давление/движение
Вода;0.20;5–30 м;среднее;сильно зависит от солей
Обычная сталь;0.25;2–15 м;среднее;зависит от напряжения и структуры
Веллит вдоль пластин;1.00;50–300 м в линии;низкое;эталонный проводящий канал
Саэрин вдоль слоя;0.75;30–150 м;низкое;направленный канал
Саэрин поперёк;0.05;0.5–3 м;сильное;анизотропная изоляция
Нирен;0.02;0.1–0.8 м;очень сильное;изоляция
Мералит;0.06;0.2–1 м;демпфирующее;подавляет когерентность
Керит;0.18;5–30 м;умеренное;проводит слабый сигнал, трудно перестраивается
Резонансная башня, настроенный канал;эффективно >>1;30–120 км;узкополосное;большая апертура и Q
