ID;Название;Область;Установка;Наблюдаемое;Ожидаемый результат;Главные погрешности;Статус
E01;Двухпластинчатая проводимость веллита;сцепление/материалы;"Две одинаковые V1-ячейки соединяются полосой веллита переменной длины; источник даёт малое b.";отношение отклика приёмника к источнику, фазовый сдвиг;"экспоненциально-подобное затухание; вдоль пластин проводимость существенно выше поперечной";контактный импеданс, ориентация зерна, температура;университетский стандарт
E02;Анизотропия саэрина;пространственная связь;Одинаковые образцы саэрина измеряются вдоль и поперёк слоёв.;K_parallel/K_perp;"отношение >>1; направление слоя воспроизводимо определяет канал";неидеальная ориентация, трещины, влажность;доказано
E03;Разряд селена;буфер;Селеновый образец заряжается малым смещением, затем источник отключается.;b(t), время релаксации;"несколько временных констант; дефектные образцы держат смещение дольше идеальных";предыстория образца, нагрев, остаточная поляризация;доказано
E04;Керитовая петля гистерезиса;стабилизация;Керитовый образец циклически переводится между двумя близкими структурными состояниями.;порог переключения, площадь петли;"выраженный гистерезис и повышенный Sc; сигнал проходит лучше, чем структурная перестройка";микротрещины, остаточные напряжения;доказано
E05;Эхолитовый остаточный отклик;Эхо;Два одинаковых эхолитовых сенсора: один рядом с закрытым причинным циклом, второй контрольный.;спектр слабого отклика после отключения цикла;в первом образце остаётся медленно спадающая коррелированная компонента;температура, механические вибрации, память самого сенсора;доказано, интерпретация спорна
E06;Контакт против свободного зазора;пространственная связь;Источник и приёмник измеряются при прямом контакте, через веллит и через воздушный зазор.;η_пространство;контакт >> проводящий канал >> свободный зазор;геометрия, экраны, общий стол;доказано
E07;Закон расстояния в свободной зоне;пространственная связь;Малый источник и резонансный приёмник раздвигаются от 0.1 до 5 м.;амплитуда b(r);сильное убывание, совместимое с exp(-r/lambda)/(1+r/r0) в инженерном диапазоне;отражения комнаты, люди, влажность;рабочий закон
E08;Экран нирена;экранирование;Между источником и сенсором ставятся пластины нирена разной толщины.;коэффициент передачи T(d);приблизительно экспоненциальное ослабление до уровня утечек через края;щели, крепёж, обходные пути;доказано
E09;Мералит: поглощение против отражения;экранирование;Сравнение нирена и мералита в резонаторе.;прошедшая и отражённая компонента;мералит сильнее снижает добротность и меньше возвращает когерентный сигнал;геометрия резонатора;доказано
E10;Crosstalk параллельных дорожек;визограммы;Две веллитовые дорожки переменного расстояния на общей подложке.;k12;"k12 резко падает с расстоянием; общий референс создаёт остаточную связь";подложка, контактные площадки;инженерный стандарт
