ID;Категория;Название;Уровень;Физическая основа;Роль Виза;Материалы;Fv;Bv;Энергия;Преимущество;Отказ;Стоимость
D-I01;Промышленность;Регулятор прокатного стана;T3;водяной/механический привод валков, редуктор, массивная рама;Импульс сглаживает рывки, Форма удерживает допустимую деформацию заготовки, Резонанс следит за вибрацией;дарн, серый сплав, веллит, таль, мералит;0.1–0.6 FU;500–3000 BU/смена;вода/вал/животный или иной механический привод;ровнее лист и меньше брака;останавливает Виз-контур, стан остаётся механическим;5/5
D-I02;Промышленность;Терма-регулятор металлургической печи;T3;топочная печь, воздуховод, заслонки, огнеупорная кладка;Терма выравнивает температурный профиль и следит за перегретыми зонами;терал, сольвер, веллит, таль;0.05–0.4 FU;500–5000 BU/плавка;уголь/древесный уголь/топливо;предсказуемая плавка и экономия топлива;переход на ручные заслонки и более широкий температурный допуск;4/5
D-I03;Промышленность;Камера ориентированного роста кристаллов;T3;печь/растворная камера, медленное перемещение затравки;Форма+Резонанс удерживают ориентацию и контролируют дефекты;терал, люмент, веллит, селен, таль;0.02–0.2 FU;1000–10000 BU/цикл;тепло и механический привод;приборные сорта веллита/таля/саэрина;кристалл остаётся физически целым, но сорт падает;5/5
D-I04;Промышленность;Резонансный сортировщик руды;T2/T3;вибролоток, механические заслонки, дроблёная руда;слабый Резонанс отличает фракции по отклику, заслонка разводит потоки;авэрин, таль, веллит, дарн;0.02–0.15 FU;200–1500 BU/смена;водяной/механический привод;повышает концентрацию редких минералов до химической очистки;руда идёт в общий поток и сортируется вручную;4/5
D-I05;Промышленность;Шахтный подъёмник с Импульс-стабилизацией;T3;барабан, канат, противовес, механический привод;Импульс гасит рывок/раскачивание и помогает аварийному тормозу через фундамент;дарн, кельская бронза, веллит, серый сплав;"0.1–0.4 FU; аварийно до 0.8";1000–5000 BU;вода/животная тяга/пароподобный привод регионально;безопаснее глубокие шахты;механический ловитель каната;5/5
D-I06;Промышленность;Крановый стабилизатор груза;T2;кран, канаты, противовес;Импульс подавляет маятниковое движение, Резонанс измеряет фазу качания;дарн, веллит, таль, мералит;0.03–0.25 FU;100–800 BU/операцию;лебёдка/вода/люди;точнее монтаж крупных деталей;кран работает медленнее вручную;4/5
D-I07;Промышленность;Регулятор натяжения текстильного станка;T2;механический ткацкий станок;Резонанс+Импульс держат узкий диапазон натяжения нити;таль, веллит, нерил, малая селеновая ячейка;0.002–0.02 FU;30–150 BU/смена;ручной/ножной/водяной привод;тонкие ткани с меньшим браком;станок становится обычным;2/5
D-I08;Промышленность;Регистратор печатного совмещения;T2;печатный пресс и механические метки;Люмен/Резонанс отслеживает смещение листа и даёт оператору флажок;люмент, таль, веллит;<0.01 FU;20–80 BU/смена;механический пресс;точнее многоцветная/многопроходная печать;печатник совмещает вручную;3/5
D-I09;Промышленность;Вибромонитор лесопилки;T2;водяная/механическая пила;Резонанс ловит опасную моду в вале/раме;таль, авэрин, веллит;<0.01 FU;20–100 BU/смена;водяной привод;раннее обслуживание до поломки;теряется мониторинг;2/5
D-I10;Промышленность;Стекольный отжиговый регулятор;T3;длинная печь медленного охлаждения;Терма контролирует градиент, Резонанс оценивает остаточное напряжение;терал, сольвер, люментовые эталоны, веллит;0.03–0.2 FU;500–4000 BU;топливо;меньше скрытых трещин в люменте/риале;партия получает более низкий сорт;4/5
