Источник;Устойчивая мощность/масштаб;Преимущества;Ограничения;Типичные применения
Человек;50–100 Вт;везде доступен, точный;усталость/еда;ручной труд, педали, мелкий привод
Рабочая лошадь;0.4–0.8 кВт;мобильна;корм/уход;транспорт, привод
Малое водяное колесо;2–10 кВт;надёжно у воды;место/сезон;мельницы, мастерские
Среднее водяное колесо;10–50 кВт;дешёвая мощность;река/канал;насосы, пилы, производство
Крупная гидроустановка;50–200+ кВт;сильный городской привод;дорога, сложна;крупная промышленность
Ветряная мельница;5–30 кВт типично;нет топлива;ветер непостоянен;помол/насос
Дрова/уголь;тепловой поток кВт–МВт локально;простота;логистика/дым;печи, отопление
Минеральный уголь;высокая тепловая плотность;металлургия;добыча/транспорт/загрязнение;тяжёлые печи
Электрохимическая ячейка;Вт–десятки Вт типично;переносимость;дорога;приборы
Пружина/гиря;Вт и ниже длительно;надёжность;малая энергия;часы, регистраторы
Bv-ячейка;не измеряется в Вт энергии;Виз-управление;не даёт джоулей;контроллеры/сенсоры
