№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;ВА001;Астер;232000;I;500.9;575.0;1190.9;1695.0;0;0;Бралин;29;региональный центр
2;ВА002;Велор;126000;I;310.1;351.4;1000.1;1471.4;294;424;Дарон;227;региональный центр
3;ВА003;Даран;73034;II;462.9;651.3;1152.9;1771.3;85;96;Бемер;21;региональный центр
4;ВА004;Севель;65892;II;219.0;609.9;909.0;1729.9;284;345;Налин;22;региональный центр
5;ВА005;Ренор;64322;II;273.7;862.1;963.7;1982.1;366;417;Исел;30;региональный центр
6;ВА006;Бренна;64015;II;641.0;663.0;1331.0;1783.0;165;187;Ларан;21;региональный центр
7;ВА007;Терен;62453;II;337.6;613.4;1027.6;1733.4;168;211;Итен;21;региональный центр
8;ВА008;Серен;54030;II;394.1;727.8;1084.1;1847.8;186;213;Арен;24;региональный центр
9;ВА009;Лорель;49741;III;611.4;521.6;1301.4;1641.6;123;153;Кевел;23;региональный центр
10;ВА010;Венир;48056;III;640.6;883.3;1330.6;2003.3;339;478;Кетар;24;региональный центр
11;ВА011;Лейвен;45000;III;715.5;500.5;1405.5;1620.5;227;279;Велен;34;региональный центр
12;ВА012;Норель;42988;III;928.4;277.3;1618.4;1397.3;521;641;Мелтан;22;региональный центр
13;ВА013;Мерель;42956;III;648.1;840.5;1338.1;1960.5;304;417;Тесел;25;региональный центр
14;ВА014;Реллин;41476;III;248.7;939.7;938.7;2059.7;443;513;Элор;22;региональный центр
15;ВА015;Мердан;36210;III;406.9;613.8;1096.9;1733.8;102;141;Мелер;24;региональный центр
16;ВА016;Аведен;33204;III;292.3;615.1;982.3;1735.1;212;262;Канар;20;региональный центр
17;ВА017;Телен;33030;III;653.2;744.4;1343.2;1864.4;228;290;Телор;20;региональный центр
18;ВА018;Инор;32944;III;160.6;626.2;850.6;1746.2;344;417;Нанел;26;региональный центр
19;ВА019;Дедар;28011;III;774.6;384.4;1464.6;1504.4;334;415;Медал;22;малый торговый город
20;ВА020;Савер;27967;III;563.6;563.1;1253.6;1683.1;64;76;Лирин;24;малый торговый город
21;ВА021;Норан;24551;III;695.3;439.3;1385.3;1559.3;237;295;Арон;20;малый торговый город
22;ВА022;Витен;23503;III;669.8;810.0;1359.8;1930.0;289;371;Кетер;24;малый торговый город
23;ВА023;Фелин;22131;III;643.0;586.2;1333.0;1706.2;143;252;Этар;25;малый торговый город
24;ВА024;Невел;21516;III;292.1;821.5;982.1;1941.5;323;380;Энел;36;малый торговый город
25;ВА025;Овер;21118;III;888.6;289.6;1578.6;1409.6;481;607;Мелтан;25;малый торговый город
26;ВА026;Рарин;21113;III;1026.0;196.5;1716.0;1316.5;647;790;Рарен;21;малый торговый город
