;Дарен;Ирет;Увар;Девин;Олвен;Ремар;Керан;Эндар;Мелин;Талес;Тердар;Варлен;Ремлан;Ирлан;Мелрен;Велтал;Фарден;Умар;Девос;Сардел;Энден;Касир;Йортен;Таллан;Дармар;Керос;Эйор;Терлен;Олет;Варис;Ремден;Ирдел;Мелвар;Велден;Уран;Девдар;Сарвен;Атен;Касмар;Йорвен;Талос;Дарлан;Керор;Терсар;Олор;Варос;Ремдел;Ирвен;Мелет
Дарен;0;831;637;108;1053;118;606;816;839;399;257;522;984;301;109;701;917;616;1175;544;720;576;448;996;215;378;782;370;1013;955;499;411;887;257;1094;743;578;646;219;1134;610;153;461;733;1006;532;562;683;935
Ирет;831;0;1415;845;928;793;482;692;71;1177;653;388;860;1079;890;577;86;295;1051;420;191;1354;1226;165;697;1156;658;540;183;125;1277;499;57;1035;970;1521;447;265;997;1010;1388;920;456;609;882;1310;365;559;810
Увар;637;1415;0;570;1557;622;1111;1320;1344;238;762;1027;1489;336;529;1206;1502;1120;1679;1048;1224;67;189;1580;719;265;1287;875;1598;1540;138;916;1472;383;1599;107;1083;1151;418;1639;27;495;966;1237;1511;110;1067;1188;1439
Девин;108;845;570;0;988;53;541;751;774;332;192;457;919;234;45;636;932;550;1110;479;654;508;381;1011;149;311;717;305;1028;970;431;346;902;189;1029;676;513;581;152;1069;543;75;396;668;941;464;497;618;870
Олвен;1053;928;1557;988;0;935;447;237;857;1319;795;586;82;1221;1032;352;1015;639;124;509;738;1496;1368;1094;839;1298;280;682;1111;1053;1419;641;985;1177;47;1663;481;670;1139;84;1531;1062;654;323;47;1452;564;387;118
Ремар;118;793;622;53;935;0;488;698;721;384;140;405;866;286;97;583;879;498;1057;426;602;561;433;958;97;363;664;253;975;918;484;293;850;242;976;728;461;529;204;1017;596;127;343;615;888;517;444;565;817
Керан;606;482;1111;541;447;488;0;210;410;872;348;139;378;774;585;95;568;192;569;62;291;1049;921;647;392;851;176;235;664;607;972;195;538;730;488;1216;35;223;693;528;1084;615;207;127;400;1005;117;77;329
Эндар;816;692;1320;751;237;698;210;0;620;1082;558;349;168;984;795;115;778;402;359;272;501;1259;1131;857;602;1061;44;445;874;817;1182;405;748;940;278;1426;245;433;902;319;1294;825;417;86;190;1215;327;150;119
Мелин;839;71;1344;774;857;721;410;620;0;1106;582;317;788;1008;819;505;158;223;979;348;119;1282;1155;237;625;1085;586;469;254;196;1205;428;128;963;899;1450;376;193;926;939;1317;848;385;537;810;1238;293;487;739
Талес;399;1177;238;332;1319;384;872;1082;1106;0;524;789;1250;98;290;967;1263;882;1441;810;986;177;49;1342;481;30;1048;637;1360;1302;100;678;1234;145;1361;344;845;913;180;1401;211;257;728;999;1272;133;828;949;1201
Тердар;257;653;762;192;795;140;348;558;582;524;0;265;726;426;237;443;740;358;917;286;462;701;573;818;47;503;524;113;836;778;624;154;710;382;837;868;321;389;344;877;735;267;204;475;749;657;305;425;677
Варлен;522;388;1027;457;586;405;139;349;317;789;265;0;517;691;502;234;475;93;708;77;197;965;838;553;309;768;315;152;571;513;889;111;445;646;627;1133;111;124;609;667;1000;532;68;266;539;922;40;216;468
Ремлан;984;860;1489;919;82;866;378;168;788;1250;726;517;0;1152;964;283;946;570;206;440;669;1427;1299;1025;770;1230;212;614;1042;985;1350;573;917;1108;129;1594;413;601;1071;166;1462;993;585;254;46;1383;495;318;49
Ирлан;301;1079;336;234;1221;286;774;984;1008;98;426;691;1152;0;193;869;1166;784;1343;712;888;275;147;1244;383;79;951;539;1262;1204;198;580;1136;47;1263;442;747;815;82;1303;309;159;630;901;1175;231;731;852;1103
