;Дарен;Ирет;Увар;Девин;Олвен;Ремар;Керан;Эндар;Мелин;Талес;Тердар;Варлен;Ремлан;Ирлан;Мелрен;Велтал;Фарден;Умар;Девос;Сардел;Энден;Касир;Йортен;Таллан;Дармар;Керос;Эйор;Терлен;Олет;Варис;Ремден;Ирдел;Мелвар;Велден;Уран;Девдар;Сарвен;Атен;Касмар;Йорвен;Талос;Дарлан;Керор;Терсар;Олор;Варос;Ремдел;Ирвен;Мелет
Дарен;0;643;455;79;583;84;385;449;589;278;164;353;528;207;84;411;706;422;654;370;500;407;312;763;137;259;438;241;779;736;349;271;683;174;610;534;388;444;153;631;435;114;305;427;563;373;378;418;524
Ирет;643;0;1042;639;535;599;311;420;53;881;493;293;495;808;672;353;64;222;622;297;145;1003;917;120;526;866;393;409;137;93;951;379;40;776;566;1113;291;200;748;593;1027;690;343;364;504;971;272;328;459
Увар;455;1042;0;420;748;459;737;703;991;176;559;754;720;249;390;721;1104;826;767;745;898;50;144;1159;527;196;712;642;1178;1134;107;669;1082;283;755;80;753;847;309;760;21;364;705;723;747;83;771;741;739
Девин;79;639;420;0;518;40;357;395;586;248;146;346;465;173;33;370;702;418;584;351;494;375;284;759;113;230;388;230;776;732;320;260;679;140;543;497;365;440;112;562;402;56;296;382;500;341;367;381;465
Олвен;583;535;748;518;0;500;324;166;510;653;451;425;61;606;540;250;573;445;95;369;457;730;681;607;461;650;194;432;630;597;700;420;562;591;34;794;348;450;569;64;742;533;423;227;33;709;407;270;87
Ремар;84;599;459;40;500;0;320;369;546;287;106;306;445;213;73;337;663;378;571;312;454;414;323;719;74;270;359;191;736;693;359;220;640;180;526;536;327;400;152;547;441;95;257;351;480;381;328;347;442
Керан;385;311;737;357;324;320;0;161;264;585;221;102;265;515;389;74;371;132;418;45;178;701;620;423;250;572;130;153;444;401;652;127;350;485;358;806;27;145;457;387;723;401;111;97;292;670;84;56;237
Эндар;449;420;703;395;166;369;161;0;384;577;300;261;105;518;422;87;470;289;259;205;315;675;609;514;317;569;31;269;536;498;635;256;454;495;200;762;187;297;469;228;693;422;257;65;135;649;245;110;83
Мелин;589;53;991;586;510;546;264;384;0;829;440;240;465;756;619;312;117;168;599;247;92;951;865;174;473;814;356;356;190;147;899;326;94;724;542;1062;243;147;695;570;975;638;290;325;478;919;220;286;430
Талес;278;881;176;248;653;287;585;577;829;0;391;590;615;74;217;580;944;662;692;587;736;129;36;1000;359;21;580;475;1018;974;72;504;922;108;668;256;598;683;136;679;157;193;540;586;646;95;609;597;627
Тердар;164;493;559;146;451;106;221;300;440;391;0;200;391;317;179;251;556;272;532;208;348;517;427;613;33;375;284;84;630;586;463;114;533;285;481;635;225;294;256;505;542;199;150;269;426;484;222;256;381
Варлен;353;293;754;346;425;306;102;261;240;590;200;0;366;516;379;175;357;72;519;57;148;713;626;413;233;574;231;115;430;387;660;86;334;484;460;827;80;94;455;489;738;398;49;199;394;681;30;158;339
Ремлан;528;495;720;465;61;445;265;105;465;615;391;366;0;563;488;191;537;389;154;309;406;698;644;575;403;610;134;370;598;563;665;359;524;546;95;771;290;395;523;123;713;483;362;168;35;676;348;212;36
Ирлан;207;808;249;173;606;213;515;518;756;74;317;516;563;0;142;514;871;588;653;515;663;203;110;927;285;58;518;401;945;902;147;430;849;34;623;328;527;610;61;637;230;119;467;521;596;169;536;529;573
