№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;ВО001;Дарен;112000;I;582.6;539.8;3282.6;1819.8;0;0;Девин;79;укреплённый региональный центр
2;ВО002;Ирет;69944;II;1206.1;383.5;3906.1;1663.5;643;831;Мелвар;40;укреплённый региональный центр
3;ВО003;Увар;37756;III;298.2;894.6;2998.2;2174.6;455;637;Талос;21;укреплённый региональный центр
4;ВО004;Девин;36166;III;610.2;614.1;3310.2;1894.1;79;108;Мелрен;33;укреплённый региональный центр
5;ВО005;Олвен;32816;III;1046.2;894.1;3746.2;2174.1;583;1053;Олор;33;укреплённый региональный центр
6;ВО006;Ремар;32787;III;645.5;595.2;3345.5;1875.2;84;118;Девин;40;укреплённый региональный центр
7;ВО007;Керан;31050;III;965.3;580.7;3665.3;1860.7;385;606;Сарвен;27;укреплённый региональный центр
8;ВО008;Эндар;30477;III;984.5;740.4;3684.5;2020.4;449;816;Эйор;31;укреплённый региональный центр
9;ВО009;Мелин;29206;III;1154.1;395.9;3854.1;1675.9;589;839;Ирет;53;пограничный/рыночный город
10;ВО010;Талес;27544;III;407.7;756.4;3107.7;2036.4;278;399;Керос;21;пограничный/рыночный город
11;ВО011;Тердар;18412;III;745.2;558.5;3445.2;1838.5;164;257;Дармар;33;пограничный/рыночный город
12;ВО012;Варлен;17934;III;930.8;484.6;3630.8;1764.6;353;522;Ремдел;30;пограничный/рыночный город
13;ВО013;Ремлан;17191;III;1016.4;840.3;3716.4;2120.3;528;984;Олор;35;пограничный/рыночный город
14;ВО014;Ирлан;10887;IV;467.7;712.5;3167.7;1992.5;207;301;Велден;34;пограничный/рыночный город
15;ВО015;Мелрен;10617;IV;578.8;623.8;3278.8;1903.8;84;109;Дарлан;31;пограничный/рыночный город
16;ВО016;Велтал;10581;IV;977.9;653.2;3677.9;1933.2;411;701;Терсар;24;пограничный/рыночный город
17;ВО017;Фарден;10570;IV;1267.0;365.3;3967.0;1645.3;706;917;Мелвар;24;пограничный/рыночный город
18;ВО018;Умар;10547;IV;995.2;451.8;3695.2;1731.8;422;616;Атен;22;пограничный/рыночный город
19;ВО019;Девос;10283;IV;1059.6;987.7;3759.6;2267.7;654;1175;Йорвен;31;пограничный/рыночный город
20;ВО020;Сардел;8529;IV;952.4;537.7;3652.4;1817.7;370;544;Сарвен;24;пограничный/рыночный город
21;ВО021;Энден;8374;IV;1071.7;437.8;3771.7;1717.8;500;720;Атен;56;пограничный/рыночный город
22;ВО022;Касир;7920;IV;318.0;848.9;3018.0;2128.9;407;576;Талос;29;пограничный/рыночный город
23;ВО023;Йортен;7910;IV;376.1;774.0;3076.1;2054.0;312;448;Талес;36;пограничный/рыночный город
24;ВО024;Таллан;7838;IV;1322.8;353.8;4022.8;1633.8;763;996;Олет;23;пограничный/рыночный город
25;ВО025;Дармар;7673;IV;715.5;572.4;3415.5;1852.4;137;215;Тердар;33;пограничный/рыночный город
26;ВО026;Керос;7287;IV;415.4;737.2;3115.4;2017.2;259;378;Талес;21;пограничный/рыночный город
27;ВО027;Эйор;6633;IV;986.0;709.4;3686.0;1989.4;438;782;Эндар;31;пограничный/рыночный город
28;ВО028;Терлен;6626;IV;822.7;524.9;3522.7;1804.9;241;370;Ирдел;31;пограничный/рыночный город
29;ВО029;Олет;6119;IV;1334.0;333.7;4034.0;1613.7;779;1013;Таллан;23;пограничный/рыночный город
30;ВО030;Варис;6006;IV;1293.3;350.2;3993.3;1630.2;736;955;Таллан;30;пограничный/рыночный город
31;ВО031;Ремден;5928;IV;352.3;802.7;3052.3;2082.7;349;499;Варос;23;пограничный/рыночный город
32;ВО032;Ирдел;5863;IV;853.0;521.1;3553.0;1801.1;271;411;Терлен;31;пограничный/рыночный город
33;ВО033;Мелвар;5511;IV;1243.3;367.8;3943.3;1647.8;683;887;Фарден;24;пограничный/рыночный город
34;ВО034;Велден;4507;IV;492.3;688.8;3192.3;1968.8;174;257;Касмар;29;пограничный/рыночный город
35;ВО035;Уран;4279;IV;1052.8;927.9;3752.8;2207.9;610;1094;Йорвен;29;пограничный/рыночный город
36;ВО036;Девдар;4100;IV;255.4;962.3;2955.4;2242.3;534;743;Увар;80;пограничный/рыночный город
37;ВО037;Сарвен;4033;IV;970.0;554.4;3670.0;1834.4;388;578;Сардел;24;пограничный/рыночный город
38;ВО038;Атен;3867;IV;1016.0;445.0;3716.0;1725.0;444;646;Умар;22;пограничный/рыночный город
39;ВО039;Касмар;3446;IV;519.1;679.1;3219.1;1959.1;153;219;Велден;29;пограничный/рыночный город
40;ВО040;Йорвен;3416;IV;1055.8;957.2;3755.8;2237.2;631;1134;Уран;29;пограничный/рыночный город
41;ВО041;Талос;3367;IV;304.8;874.9;3004.8;2154.9;435;610;Увар;21;пограничный/рыночный город
42;ВО042;Дарлан;3000;IV;571.0;653.6;3271.0;1933.6;114;153;Мелрен;31;пограничный/рыночный город
43;ВО043;Керор;3000;IV;885.2;503.4;3585.2;1783.4;305;461;Ирдел;37;пограничный/рыночный город
44;ВО044;Терсар;3000;IV;987.6;675.0;3687.6;1955.0;427;733;Велтал;24;пограничный/рыночный город
45;ВО045;Олор;3000;IV;1044.9;861.2;3744.9;2141.2;563;1006;Олвен;33;пограничный/рыночный город
46;ВО046;Варос;3000;IV;340.4;823.0;3040.4;2103.0;373;532;Ремден;23;пограничный/рыночный город
47;ВО047;Ремдел;3000;IV;958.4;496.8;3658.4;1776.8;378;562;Варлен;30;пограничный/рыночный город
48;ВО048;Ирвен;3000;IV;990.7;630.3;3690.7;1910.3;418;683;Велтал;26;пограничный/рыночный город
49;ВО049;Мелет;3000;IV;1032.3;808.4;3732.3;2088.4;524;935;Ремлан;36;пограничный/рыночный город
