№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;ИА001;Тешара;224000;I;393.6;417.0;;;0;0;Сайат;75;речной или прибрежный центр
2;ИА002;Харим;146000;I;639.6;646.3;;;336;548;Райат;80;речной или прибрежный центр
3;ИА003;Осея;118000;I;738.0;291.9;;;366;425;Хамир;220;речной или прибрежный центр
4;ИА004;Савар;85112;II;325.1;207.6;;;220;255;Ирун;21;речной или прибрежный центр
5;ИА005;Амун;69670;II;348.5;113.4;;;307;356;Амей;34;речной или прибрежный центр
6;ИА006;Варун;59539;II;680.6;537.8;;;311;414;Ашимей;24;речной или прибрежный центр
7;ИА007;Ишим;56546;II;790.0;774.0;;;533;715;Равар;22;речной или прибрежный центр
8;ИА008;Нейат;48959;III;931.9;763.3;;;640;886;Салан;20;речной или прибрежный центр
9;ИА009;Варим;47053;III;280.4;161.3;;;280;373;Нахан;25;речной или прибрежный центр
10;ИА010;Насар;46138;III;331.8;171.4;;;253;302;Харан;22;речной или прибрежный центр
11;ИА011;Мейра;45289;III;438.5;341.5;;;88;107;Кахан;20;речной или прибрежный центр
12;ИА012;Кавем;44237;III;296.5;103.9;;;328;404;Амей;21;речной или прибрежный центр
13;ИА013;Рамей;40947;III;775.7;740.5;;;501;705;Равар;23;речной или прибрежный центр
14;ИА014;Ашимун;38793;III;980.0;810.1;;;706;967;Месея;33;речной или прибрежный центр
15;ИА015;Вайра;35378;III;646.9;508.1;;;269;358;Ашимей;22;речной или прибрежный центр
16;ИА016;Кашара;33738;III;288.0;219.3;;;224;304;Зелан;20;речной или прибрежный центр
17;ИА017;Лавар;28798;III;841.2;994.6;;;731;1014;Авен;22;земледельческий/ремесленный город
18;ИА018;Тетар;26548;III;1036.5;879.5;;;792;1075;Талан;23;земледельческий/ремесленный город
19;ИА019;Руйат;25903;III;719.3;584.6;;;366;501;Райат;21;земледельческий/ремесленный город
20;ИА020;Нешара;24495;III;359.9;263.4;;;157;233;Омей;27;земледельческий/ремесленный город
21;ИА021;Хамун;24272;III;860.0;704.7;;;548;752;Шарун;23;земледельческий/ремесленный город
22;ИА022;Мерим;22970;III;733.1;618.7;;;395;546;Мемир;31;земледельческий/ремесленный город
23;ИА023;Зейат;22477;III;834.4;929.0;;;676;939;Каран;25;земледельческий/ремесленный город
24;ИА024;Кирим;22342;III;811.5;841.7;;;596;806;Зевен;20;земледельческий/ремесленный город
25;ИА025;Масай;20092;III;495.3;396.4;;;104;128;Силин;22;земледельческий/ремесленный город
26;ИА026;Осера;19298;III;783.7;613.9;;;437;610;Мемир;21;земледельческий/ремесленный город
27;ИА027;Сарим;19114;III;802.9;651.8;;;472;656;Ралан;22;земледельческий/ремесленный город
28;ИА028;Синар;18626;III;747.1;684.3;;;443;628;Айра;22;земледельческий/ремесленный город
29;ИА029;Тасай;17798;III;923.3;709.2;;;605;822;Васера;23;земледельческий/ремесленный город
30;ИА030;Джамир;17629;III;574.5;440.9;;;182;235;Ашитар;26;земледельческий/ремесленный город
31;ИА031;Шалан;17311;III;598.0;469.0;;;211;280;Аширан;25;земледельческий/ремесленный город
32;ИА032;Рахан;15398;III;319.9;136.7;;;290;348;Нахан;22;земледельческий/ремесленный город
33;ИА033;Ашисера;14774;IV;257.8;136.2;;;312;416;Кишим;21;земледельческий/ремесленный город
34;ИА034;Авен;14635;IV;846.4;973.7;;;718;998;Лавар;22;земледельческий/ремесленный город
35;ИА035;Каран;14463;IV;821.9;950.2;;;684;960;Зейат;25;земледельческий/ремесленный город
36;ИА036;Ламир;14396;IV;895.3;700.7;;;576;788;Васера;25;земледельческий/ремесленный город
37;ИА037;Рувен;13845;IV;828.1;665.7;;;501;693;Сарим;29;земледельческий/ремесленный город
38;ИА038;Нерун;13083;IV;748.5;655.9;;;428;595;Айра;23;земледельческий/ремесленный город
39;ИА039;Ирун;12993;IV;308.7;220.5;;;214;282;Кашара;21;земледельческий/ремесленный город
40;ИА040;Насера;12922;IV;927.8;743.1;;;626;861;Нейат;21;земледельческий/ремесленный город
41;ИА041;Мемир;12492;IV;763.6;618.9;;;422;585;Осера;21;земледельческий/ремесленный город
42;ИА042;Зевар;12210;IV;814.8;913.0;;;651;913;Зейат;25;земледельческий/ремесленный город
43;ИА043;Кимир;12203;IV;904.6;736.2;;;602;831;Тешим;24;земледельческий/ремесленный город
44;ИА044;Мавен;11980;IV;311.2;83.8;;;343;414;Кавем;25;земледельческий/ремесленный город
45;ИА045;Омир;11967;IV;383.9;280.1;;;137;199;Нехан;23;земледельческий/ремесленный город
46;ИА046;Салан;11883;IV;932.2;783.5;;;651;902;Нейат;20;земледельческий/ремесленный город
47;ИА047;Сиран;11863;IV;757.6;713.7;;;470;666;Русай;24;земледельческий/ремесленный город
48;ИА048;Тайра;11724;IV;821.0;887.4;;;636;883;Машара;23;земледельческий/ремесленный город
49;ИА049;Джавар;11163;IV;299.4;180.8;;;254;342;Зелан;23;земледельческий/ремесленный город
50;ИА050;Шатар;11017;IV;399.2;314.0;;;103;154;Кахан;28;земледельческий/ремесленный город
51;ИА051;Ралан;10422;IV;781.1;647.7;;;451;628;Сарим;22;земледельческий/ремесленный город
52;ИА052;Аширан;9686;IV;612.8;489.2;;;231;311;Хамир;20;земледельческий/ремесленный город
53;ИА053;Айра;9402;IV;765.2;672.1;;;451;624;Русай;21;земледельческий/ремесленный город
54;ИА054;Васай;9369;IV;542.7;448.2;;;152;219;Ашитар;25;земледельческий/ремесленный город
55;ИА055;Кахан;9362;IV;423.8;327.5;;;94;119;Мейра;20;земледельческий/ремесленный город
56;ИА056;Лайат;8755;IV;791.4;799.1;;;552;747;Ишим;25;земледельческий/ремесленный город
57;ИА057;Темир;8466;IV;963.3;775.9;;;673;921;Салан;32;земледельческий/ремесленный город
58;ИА058;Русай;8222;IV;769.6;692.8;;;466;650;Айра;21;земледельческий/ремесленный город
59;ИА059;Нехан;7898;IV;405.1;272.4;;;145;205;Омир;23;земледельческий/ремесленный город
60;ИА060;Нахан;7742;IV;298.8;144.5;;;288;377;Рахан;22;земледельческий/ремесленный город
61;ИА061;Хасея;7709;IV;985.3;852.2;;;735;1019;Месея;21;земледельческий/ремесленный город
62;ИА062;Месея;6710;IV;999.5;836.4;;;737;1008;Хасея;21;земледельческий/ремесленный город
63;ИА063;Зевен;6601;IV;798.3;826.3;;;576;782;Кирим;20;земледельческий/ремесленный город
64;ИА064;Кисера;6299;IV;268.7;183.5;;;265;348;Зелан;24;земледельческий/ремесленный город
65;ИА065;Машара;5820;IV;840.0;874.2;;;639;859;Рулан;22;земледельческий/ремесленный город
66;ИА066;Сашара;5715;IV;352.4;159.4;;;261;326;Харан;21;земледельческий/ремесленный город
67;ИА067;Сирим;5676;IV;812.9;623.9;;;468;645;Сарим;30;земледельческий/ремесленный город
68;ИА068;Талан;5673;IV;1018.0;866.1;;;769;1050;Тетар;23;земледельческий/ремесленный город
69;ИА069;Джасера;5380;IV;249.2;162.2;;;293;385;Ашисера;27;земледельческий/ремесленный город
70;ИА070;Шамир;5326;IV;711.9;547.2;;;344;454;Варун;33;земледельческий/ремесленный город
71;ИА071;Райат;5290;IV;703.0;597.8;;;358;520;Руйат;21;земледельческий/ремесленный город
72;ИА072;Ашимей;5211;IV;660.6;525.2;;;288;383;Вайра;22;земледельческий/ремесленный город
73;ИА073;Амей;5178;IV;314.8;114.8;;;312;376;Кавем;21;земледельческий/ремесленный город
74;ИА074;Васера;5150;IV;916.6;687.0;;;589;804;Тасай;23;земледельческий/ремесленный город
75;ИА075;Ларим;5134;IV;859.8;680.6;;;536;737;Хамун;24;земледельческий/ремесленный город
76;ИА076;Тешим;5015;IV;906.5;759.6;;;617;860;Кимир;24;земледельческий/ремесленный город
77;ИА077;Рулан;4947;IV;834.8;852.9;;;620;837;Машара;22;земледельческий/ремесленный город
78;ИА078;Несай;4740;IV;317.5;239.3;;;193;295;Ирун;21;земледельческий/ремесленный город
79;ИА079;Ирия;4700;IV;382.5;95.4;;;322;404;Тамун;20;земледельческий/ремесленный город
