;Карден;Дорвек;Варкел;Харден;Векмор;Торвен;Гронкар;Беласт;Форден;Бранек;Морден;Арнир;Харвер;Скардан;Ренгар;Гартар;Ардор;Гронмор;Келкар;Тортар;Дорнир;Морнар;Белдор;Векрик;Бранвен;Драмнар;Вардек;Картар;Харвен;Скардек;Ренвен;Фордор;Арвек;Келмор
Карден;0;364;314;622;60;211;121;150;130;255;469;398;102;558;161;165;425;417;300;89;327;374;191;35;275;241;341;481;28;202;115;321;120;419
Дорвек;364;0;473;277;424;575;485;371;288;163;628;37;465;194;513;529;62;576;539;453;508;532;555;399;539;575;77;640;392;450;479;106;356;55
Варкел;314;473;0;750;282;131;221;464;444;569;156;510;275;667;475;177;534;103;66;253;35;60;160;310;67;102;550;167;342;515;429;578;434;528
Харден;622;277;750;0;682;833;743;648;565;440;905;303;723;95;783;786;243;853;816;711;785;809;812;657;816;852;354;917;650;727;737;381;633;231
Векмор;60;424;282;682;0;151;61;210;190;315;438;458;47;618;204;105;485;385;240;29;267;342;131;33;215;181;401;449;66;250;164;381;180;479
Торвен;211;575;131;833;151;0;90;361;341;466;286;610;145;769;351;46;637;234;89;122;115;191;31;180;64;30;552;298;213;397;311;532;331;630
Гронкар;121;485;221;743;61;90;0;271;251;376;377;519;54;679;263;44;547;324;179;35;205;281;70;92;154;120;462;388;125;310;224;442;241;540
Беласт;150;371;464;648;210;361;271;0;83;208;619;352;252;557;142;315;409;567;450;239;476;523;341;185;425;391;294;631;178;79;123;274;30;418
Форден;130;288;444;565;190;341;251;83;0;125;599;269;232;474;225;295;327;547;430;219;456;503;321;165;405;371;211;611;158;162;206;191;68;335
Бранек;255;163;569;440;315;466;376;208;125;0;724;144;356;350;350;420;202;672;555;344;581;628;446;290;530;496;86;736;283;287;331;66;193;210
Морден;469;628;156;905;438;286;377;619;599;724;0;665;431;823;631;333;690;69;208;409;176;99;316;466;222;258;705;32;498;671;585;734;589;684
Арнир;398;37;510;303;458;610;519;352;269;144;665;0;500;215;494;563;67;613;576;488;545;569;589;433;576;612;58;677;427;431;474;78;337;72
Харвер;102;465;275;723;47;145;54;252;232;356;431;500;0;660;238;98;527;379;233;31;260;335;124;67;209;175;442;443;100;284;198;423;221;521
Скардан;558;194;667;95;618;769;679;557;474;350;823;215;660;0;699;723;148;770;733;647;702;727;749;593;734;769;264;834;586;636;673;293;543;154
Ренгар;161;513;475;783;204;351;263;142;225;350;631;494;238;699;0;304;551;578;439;228;466;535;333;171;415;381;436;643;138;82;46;416;172;560
Гартар;165;529;177;786;105;46;44;315;295;420;333;563;98;723;304;0;590;280;135;76;162;237;36;133;111;76;506;345;166;351;265;486;285;584
Ардор;425;62;534;243;485;637;547;409;327;202;690;67;527;148;551;590;0;638;600;515;570;594;616;461;601;636;116;702;454;488;532;145;395;32
Гронмор;417;576;103;853;385;234;324;567;547;672;69;613;379;770;578;280;638;0;152;357;121;44;263;414;170;205;653;74;445;619;533;682;537;631
Келкар;300;539;66;816;240;89;179;450;430;555;208;576;233;733;439;135;600;152;0;211;31;108;117;268;34;59;615;226;302;486;400;621;420;594
Тортар;89;453;253;711;29;122;35;239;219;344;409;488;31;647;228;76;515;357;211;0;238;313;105;57;187;152;430;421;90;275;189;411;209;509
Дорнир;327;508;35;785;267;115;205;476;456;581;176;545;260;702;466;162;570;121;31;238;0;77;145;295;51;86;585;195;328;513;426;614;446;563
Морнар;374;532;60;809;342;191;281;523;503;628;99;569;335;727;535;237;594;44;108;313;77;0;220;370;126;162;609;118;402;575;489;638;493;588
Белдор;191;555;160;812;131;31;70;341;321;446;316;589;124;749;333;36;616;263;117;105;145;220;0;162;93;58;532;327;195;380;293;512;311;610
Векрик;35;399;310;657;33;180;92;185;165;290;466;433;67;593;171;133;461;414;268;57;295;370;162;0;244;210;376;478;33;218;132;356;155;454
Бранвен;275;539;67;816;215;64;154;425;405;530;222;576;209;734;415;111;601;170;34;187;51;126;93;244;0;35;616;234;277;461;375;597;395;595
Драмнар;241;575;102;852;181;30;120;391;371;496;258;612;175;769;381;76;636;205;59;152;86;162;58;210;35;0;582;269;243;427;341;562;361;630
Вардек;341;77;550;354;401;552;462;294;211;86;705;58;442;264;436;506;116;653;615;430;585;609;532;376;616;582;0;717;369;373;417;32;279;124
Картар;481;640;167;917;449;298;388;631;611;736;32;677;443;834;643;345;702;74;226;421;195;118;327;478;234;269;717;0;509;683;597;746;601;696
Харвен;28;392;342;650;66;213;125;178;158;283;498;427;100;586;138;166;454;445;302;90;328;402;195;33;277;243;369;509;0;184;98;349;148;447
Скардек;202;450;515;727;250;397;310;79;162;287;671;431;284;636;82;351;488;619;486;275;513;575;380;218;461;427;373;683;184;0;86;353;103;497
Ренвен;115;479;429;737;164;311;224;123;206;331;585;474;198;673;46;265;532;533;400;189;426;489;293;132;375;341;417;597;98;86;0;397;153;535
Фордор;321;106;578;381;381;532;442;274;191;66;734;78;423;293;416;486;145;682;621;411;614;638;512;356;597;562;32;746;349;353;397;0;260;150
Арвек;120;356;434;633;180;331;241;30;68;193;589;337;221;543;172;285;395;537;420;209;446;493;311;155;395;361;279;601;148;103;153;260;0;404
Келмор;419;55;528;231;479;630;540;418;335;210;684;72;521;154;560;584;32;631;594;509;563;588;610;454;595;630;124;696;447;497;535;150;404;0
