№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;КЕ001;Карден;94000;II;668.7;274.2;1488.7;2524.2;0;0;Харвен;20;горно-инженерный центр
2;КЕ002;Дорвек;72000;II;458.2;424.6;1278.2;2674.6;259;364;Арнир;24;горно-инженерный центр
3;КЕ003;Варкел;61000;II;792.5;459.9;1612.5;2709.9;223;314;Дорнир;25;горно-инженерный центр
4;КЕ004;Харден;54000;II;371.5;601.5;1191.5;2851.5;442;622;Скардан;65;горно-инженерный центр
5;КЕ005;Векмор;30829;III;694.8;304.4;1514.8;2554.4;40;60;Тортар;20;долинный рынок
6;КЕ006;Торвен;29237;III;749.8;382.6;1569.8;2632.6;135;211;Белдор;20;долинный рынок
7;КЕ007;Гронкар;28315;III;702.3;344.9;1522.3;2594.9;78;121;Тортар;23;долинный рынок
8;КЕ008;Беласт;22346;III;592.0;214.6;1412.0;2464.6;97;150;Арвек;20;долинный рынок
9;КЕ009;Форден;20877;III;578.0;271.0;1398.0;2521.0;91;130;Арвек;45;долинный рынок
10;КЕ010;Бранек;18382;III;524.0;335.8;1344.0;2585.8;157;255;Фордор;43;долинный рынок
11;КЕ011;Морден;17917;III;826.5;555.8;1646.5;2805.8;323;469;Картар;22;шахтный/перевальный город
12;КЕ012;Арнир;12810;IV;482.3;425.2;1302.3;2675.2;240;398;Дорвек;24;долинный рынок
13;КЕ013;Харвер;11844;IV;724.9;316.7;1544.9;2566.7;70;102;Тортар;21;долинный рынок
14;КЕ014;Скардан;9586;IV;419.6;557.2;1239.6;2807.2;377;558;Харден;65;шахтный/перевальный город
15;КЕ015;Ренгар;8522;IV;679.3;163.9;1499.3;2413.9;111;161;Ренвен;32;долинный рынок
16;КЕ016;Гартар;8205;IV;724.7;366.6;1544.7;2616.6;108;165;Белдор;24;долинный рынок
17;КЕ017;Ардор;8137;IV;467.0;465.3;1287.0;2715.3;278;425;Келмор;23;долинный рынок
18;КЕ018;Гронмор;8041;IV;790.5;530.0;1610.5;2780.0;283;417;Морнар;29;шахтный/перевальный город
19;КЕ019;Келкар;6879;IV;756.5;437.5;1576.5;2687.5;185;300;Дорнир;21;долинный рынок
20;КЕ020;Тортар;6337;IV;704.8;321.9;1524.8;2571.9;60;89;Векмор;20;долинный рынок
21;КЕ021;Дорнир;5196;IV;768.3;455.2;1588.3;2705.2;207;327;Келкар;21;долинный рынок
22;КЕ022;Морнар;4638;IV;788.0;500.7;1608.0;2750.7;256;374;Гронмор;29;шахтный/перевальный город
23;КЕ023;Белдор;4444;IV;748.8;362.6;1568.8;2612.6;119;191;Торвен;20;долинный рынок
24;КЕ024;Векрик;4210;IV;690.8;283.8;1510.8;2533.8;24;35;Векмор;21;долинный рынок
25;КЕ025;Бранвен;3932;IV;773.9;420.5;1593.9;2670.5;180;275;Келкар;24;долинный рынок
26;КЕ026;Драмнар;3856;IV;764.4;397.2;1584.4;2647.2;156;241;Торвен;21;долинный рынок
27;КЕ027;Вардек;3460;IV;489.4;386.2;1309.4;2636.2;211;341;Фордор;22;долинный рынок
28;КЕ028;Картар;3000;IV;815.1;574.7;1635.1;2824.7;334;481;Морден;22;шахтный/перевальный город
29;КЕ029;Харвен;3000;IV;684.5;261.8;1504.5;2511.8;20;28;Карден;20;долинный рынок
30;КЕ030;Скардек;3000;IV;622.3;168.5;1442.3;2418.5;115;202;Беласт;55;долинный рынок
31;КЕ031;Ренвен;3000;IV;674.1;195.1;1494.1;2445.1;79;115;Ренгар;32;долинный рынок
32;КЕ032;Фордор;3000;IV;509.8;376.9;1329.8;2626.9;189;321;Вардек;22;долинный рынок
33;КЕ033;Арвек;3000;IV;600.8;232.6;1420.8;2482.6;80;120;Беласт;20;долинный рынок
34;КЕ034;Келмор;3000;IV;445.5;457.9;1265.5;2707.9;289;419;Ардор;23;долинный рынок
