№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;СО001;Аурелл;268000;I;630.0;294.0;1280.0;374.0;0;0;Оресера;25;речной/садовый торговый центр
2;СО002;Солена;182000;I;826.8;525.0;1476.8;605.0;303;423;Новелора;52;речной/садовый торговый центр
3;СО003;Кармея;139000;I;406.8;493.5;1056.8;573.5;299;409;Сатора;134;речной/садовый торговый центр
4;СО004;Вароса;112000;I;944.9;262.5;1594.9;342.5;317;361;Солена;288;речной/садовый торговый центр
5;СО005;Велира;96849;II;884.0;828.9;1534.0;908.9;592;714;Мадара;20;речной/садовый торговый центр
6;СО006;Лусаль;90989;II;812.9;596.0;1462.9;676.0;353;436;Новелора;20;речной/садовый торговый центр
7;СО007;Меретта;90785;II;995.3;758.0;1645.3;838.0;591;716;Лусса;20;речной/садовый торговый центр
8;СО008;Калено;84644;II;850.8;703.6;1500.8;783.6;465;566;Новерия;22;речной/садовый торговый центр
9;СО009;Росена;76869;II;659.5;479.6;1309.5;559.6;188;214;Лана;24;речной/садовый торговый центр
10;СО010;Белара;73005;II;757.2;536.3;1407.2;616.3;274;343;Делора;24;речной/садовый торговый центр
11;СО011;Лумера;70899;II;901.8;654.6;1551.8;734.6;452;558;Татина;21;речной/садовый торговый центр
12;СО012;Савора;56181;II;468.1;677.6;1118.1;757.6;416;477;Оретора;26;речной/садовый торговый центр
13;СО013;Ротала;55178;II;573.9;476.8;1223.9;556.8;191;218;Аудара;21;речной/садовый торговый центр
14;СО014;Новесена;50477;II;896.3;906.1;1546.3;986.1;668;803;Аветала;23;речной/садовый торговый центр
15;СО015;Велера;49463;III;826.8;653.2;1476.8;733.2;410;509;Новевия;21;речной/садовый торговый центр
16;СО016;Терел;49240;III;355.6;816.3;1005.6;896.3;590;700;Вадара;24;речной/садовый торговый центр
17;СО017;Левера;47599;III;322.2;880.4;972.2;960.4;662;789;Ладара;20;речной/садовый торговый центр
18;СО018;Мелия;47397;III;402.5;779.6;1052.5;859.6;536;624;Солетала;22;речной/садовый торговый центр
19;СО019;Калелена;45083;III;652.6;127.2;1302.6;207.2;168;207;Соледара;22;речной/садовый торговый центр
20;СО020;Фавел;41073;III;520.0;621.7;1170.0;701.7;346;421;Лерена;24;речной/садовый торговый центр
21;СО021;Орелера;38527;III;281.8;913.8;931.8;993.8;711;858;Бенета;23;речной/садовый торговый центр
22;СО022;Сасера;38289;III;948.7;695.5;1598.7;775.5;513;633;Илелия;26;речной/садовый торговый центр
23;СО023;Сетала;36772;III;649.7;168.0;1299.7;248.0;128;156;Лелера;24;речной/садовый торговый центр
24;СО024;Дена;35106;III;611.7;380.4;1261.7;460.4;88;106;Вария;22;речной/садовый торговый центр
25;СО025;Тасера;32553;III;616.6;328.1;1266.6;408.1;37;44;Аумара;24;речной/садовый торговый центр
26;СО026;Бесера;31461;III;885.1;791.8;1535.1;871.8;559;712;Валера;26;речной/садовый торговый центр
27;СО027;Авелена;31340;III;472.2;723.5;1122.2;803.5;458;531;Фаверна;23;речной/садовый торговый центр
28;СО028;Кария;31001;III;363.4;853.9;1013.4;933.9;620;726;Илелена;23;речной/садовый торговый центр
29;СО029;Масера;30159;III;622.9;232.7;1272.9;312.7;62;75;Аверел;23;речной/садовый торговый центр
30;СО030;Каремара;29563;III;615.8;421.7;1265.8;501.7;128;156;Катала;30;винодельческий/ремесленный город
31;СО031;Лутора;29553;III;262.7;946.5;912.7;1026.5;749;902;Лавесса;24;винодельческий/ремесленный город
32;СО032;Солемера;29211;III;477.2;637.0;1127.2;717.0;376;463;Селена;25;винодельческий/ремесленный город
33;СО033;Ватора;25204;III;884.6;750.1;1534.6;830.1;522;636;Аусена;23;винодельческий/ремесленный город
34;СО034;Ланета;22138;III;428.2;754.2;1078.2;834.2;503;582;Тевера;22;винодельческий/ремесленный город
