;Ордан;Харун;Аркар;Малор;Эрким;Джалор;Калир;Куран;Джалан;Саран;Нарак;Урлан;Терак;Калун;Харак
Ордан;0;541;137;648;305;801;52;218;419;27;743;368;144;179;337
Харун;541;0;678;1189;846;260;523;340;960;531;1284;909;414;381;221
Аркар;137;678;0;510;168;938;189;355;282;165;606;230;281;317;474
Малор;648;1189;510;0;343;1449;700;866;255;675;105;280;791;827;984
Эрким;305;846;168;343;0;1106;357;523;114;332;438;63;449;484;642
Джалор;801;260;938;1449;1106;0;781;598;1220;789;1544;1169;673;639;480
Калир;52;523;189;700;357;781;0;183;471;26;795;420;109;144;302
Куран;218;340;355;866;523;598;183;0;637;191;961;586;74;41;119
Джалан;419;960;282;255;114;1220;471;637;0;447;357;52;563;599;756
Саран;27;531;165;675;332;789;26;191;447;0;770;395;117;152;309
Нарак;743;1284;606;105;438;1544;795;961;357;770;0;375;887;922;1080
Урлан;368;909;230;280;63;1169;420;586;52;395;375;0;511;547;704
Терак;144;414;281;791;449;673;109;74;563;117;887;511;0;35;193
Калун;179;381;317;827;484;639;144;41;599;152;922;547;35;0;159
Харак;337;221;474;984;642;480;302;119;756;309;1080;704;193;159;0
