;Ордан;Харун;Аркар;Малор;Эрким;Джалор;Калир;Куран;Джалан;Саран;Нарак;Урлан;Терак;Калун;Харак
Ордан;0;463;114;535;243;658;40;180;331;22;617;296;122;151;281
Харун;463;0;577;997;706;201;431;286;792;441;1078;758;344;317;186
Аркар;114;577;0;422;130;772;149;293;219;136;503;182;235;263;394
Малор;535;997;422;0;292;1193;570;715;204;558;82;240;657;685;816
Эрким;243;706;130;292;0;901;278;423;90;265;374;53;365;393;524
Джалор;658;201;772;1193;901;0;624;479;989;636;1275;954;537;509;377
Калир;40;431;149;570;278;624;0;145;367;22;652;331;87;115;247
Куран;180;286;293;715;423;479;145;0;511;157;796;475;58;31;102
Джалан;331;792;219;204;90;989;367;511;0;354;286;41;453;482;612
Саран;22;441;136;558;265;636;22;157;354;0;639;318;100;128;259
Нарак;617;1078;503;82;374;1275;652;796;286;639;0;321;738;767;898
Урлан;296;758;182;240;53;954;331;475;41;318;321;0;417;446;577
Терак;122;344;235;657;365;537;87;58;453;100;738;417;0;28;160
Калун;151;317;263;685;393;509;115;31;482;128;767;446;28;0;132
Харак;281;186;394;816;524;377;247;102;612;259;898;577;160;132;0
