№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;ЛА001;Ордан;66000;II;765.4;576.5;2545.4;496.5;0;0;Саран;22;караванно-речной узел
2;ЛА002;Харун;57000;II;1200.3;417.5;2980.3;337.5;463;541;Харак;186;караванно-речной узел
3;ЛА003;Аркар;26186;III;657.1;610.8;2437.1;530.8;114;137;Ордан;114;караванно-речной узел
4;ЛА004;Малор;22261;III;245.4;703.0;2025.4;623.0;535;648;Нарак;82;караванно-речной узел
5;ЛА005;Эрким;10883;IV;531.1;641.6;2311.1;561.6;243;305;Урлан;53;степной торговый городок
6;ЛА006;Джалор;9327;IV;1401.3;406.3;3181.3;326.3;658;801;Харун;201;степной торговый городок
7;ЛА007;Калир;9161;IV;804.0;587.6;2584.0;507.6;40;52;Саран;22;степной торговый городок
8;ЛА008;Куран;8806;IV;941.1;539.1;2721.1;459.1;180;218;Калун;31;степной торговый городок
9;ЛА009;Джалан;7168;IV;441.1;644.2;2221.1;564.2;331;419;Урлан;41;степной торговый городок
10;ЛА010;Саран;5651;IV;787.6;573.4;2567.6;493.4;22;27;Калир;22;степной торговый городок
11;ЛА011;Нарак;4604;IV;165.5;719.2;1945.5;639.2;617;743;Малор;82;степной торговый городок
12;ЛА012;Урлан;3691;IV;480.3;655.9;2260.3;575.9;296;368;Джалан;41;степной торговый городок
13;ЛА013;Терак;3262;IV;886.4;559.4;2666.4;479.4;122;144;Калун;28;степной торговый городок
14;ЛА014;Калун;3000;IV;914.5;555.8;2694.5;475.8;151;179;Терак;28;степной торговый городок
15;ЛА015;Харак;3000;IV;1038.1;508.9;2818.1;428.9;281;337;Куран;102;степной торговый городок
