Государство/регион;Город;Население;X_Лиаверн_км;Y_Лиаверн_км
Рианская Лига;Вейра;158000;270.2;1951.3
Рианская Лига;Кассер;140000;218.2;1641.9
Рианская Лига;Невен;135603;201.3;1482.2
Рианская Лига;Мересса;132000;314.7;1456.3
Рианская Лига;Дориал;119000;441.0;1817.2
Рианская Лига;Фалрен;108000;366.7;2106.0
Рианская Лига;Мариаль;103000;522.7;1590.3
Рианская Лига;Арвен;78317;250.8;1439.6
Рианская Лига;Лисар;75719;214.7;1378.4
Рианская Лига;Эстен;62854;228.4;1564.3
Рианская Лига;Орис;60668;445.5;1553.9
Рианская Лига;Ивар;59792;513.0;1862.1
Рианская Лига;Фаден;59107;396.8;1764.1
Рианская Лига;Меран;45067;194.2;1547.1
Рианская Лига;Наран;43666;157.0;1433.3
Рианская Лига;Тарон;43097;269.5;1643.3
Рианская Лига;Ардал;40769;259.3;1488.3
Рианская Лига;Мадал;40569;204.0;1423.8
Рианская Лига;Нолис;39691;156.7;1476.1
Рианская Лига;Несен;39582;219.3;1341.1
Рианская Лига;Селис;36803;243.4;1600.9
Рианская Лига;Эслис;35689;476.8;1841.6
Рианская Лига;Каслен;31935;605.4;1568.8
Рианская Лига;Кавир;31376;566.4;1935.2
Рианская Лига;Вейрис;30695;250.0;1393.3
Рианская Лига;Асен;30281;634.6;2006.3
Рианская Лига;Фенер;30162;651.4;2039.7
Рианская Лига;Ротал;28715;273.0;1366.7
Рианская Лига;Равер;26806;575.5;1547.1
Рианская Лига;Вевир;26614;382.6;1529.7
Рианская Лига;Лирел;24652;300.3;1684.4
Рианская Лига;Терон;24392;246.2;1304.2
Рианская Лига;Овир;20933;262.5;1684.0
Рианская Лига;Фатен;18872;589.8;1990.5
Рианская Лига;Метал;17334;321.6;1346.6
Рианская Лига;Налар;16223;341.8;1489.0
Рианская Лига;Таран;15181;303.5;1504.3
Рианская Лига;Арвер;14639;220.6;1598.4
Рианская Лига;Мавир;14587;206.9;1459.5
Рианская Лига;Новир;14084;167.8;1455.9
Рианская Лига;Нерел;13268;218.7;1532.4
Рианская Лига;Сатал;12443;236.0;1630.9
Рианская Лига;Эсвир;12436;298.8;1472.8
Рианская Лига;Кассен;12412;238.8;1481.3
Рианская Лига;Карен;11831;254.0;1464.2
Рианская Лига;Вейнер;11443;424.9;1549.4
Рианская Лига;Авар;11120;227.8;1455.9
Рианская Лига;Феден;11018;178.6;1508.8
Рианская Лига;Ровир;10360;261.2;1421.9
Рианская Лига;Ветал;10060;198.2;1366.6
Рианская Лига;Тесен;9953;615.8;1996.7
Рианская Лига;Фарис;9824;539.1;1569.5
Рианская Лига;Мемар;9750;228.4;1430.7
Рианская Лига;Надал;9609;466.0;1818.4
Рианская Лига;Тасар;9422;191.4;1446.1
Рианская Лига;Армер;9074;173.8;1416.7
Рианская Лига;Мавар;8549;483.0;1572.6
Рианская Лига;Норел;7615;272.7;1404.3
Рианская Лига;Недал;7346;209.0;1399.4
Рианская Лига;Сетен;7192;279.1;1443.6
Рианская Лига;Эсвер;7056;355.9;1517.5
Рианская Лига;Касрис;6943;439.1;1784.7
Рианская Лига;Ларел;6407;175.8;1394.0
Рианская Лига;Вейвар;6398;197.5;1526.4
Рианская Лига;Атал;6327;278.4;1471.2
Рианская Лига;Ферен;6311;320.0;1419.0
Рианская Лига;Родал;6166;543.0;1926.4
Рианская Лига;Ранар;6098;239.6;1356.7
Рианская Лига;Верон;5683;517.3;1887.8
Рианская Лига;Лирис;5641;147.3;1451.7
Рианская Лига;Темар;5390;235.6;1658.4
Рианская Лига;Олис;5286;662.7;2062.6
Рианская Лига;Фасер;5214;348.0;1725.7
Рианская Лига;Месар;5114;208.0;1569.2
Рианская Лига;Нален;4997;597.9;1967.4
Рианская Лига;Тасен;4864;539.5;1899.6
Рианская Лига;Арсар;4718;209.9;1502.0
Рианская Лига;Мавер;4373;577.4;1953.9
Рианская Лига;Номар;4357;321.2;1712.8
Рианская Лига;Неран;4282;513.4;1557.1
Рианская Лига;Сесар;4244;559.4;1911.7
Рианская Лига;Савир;4110;635.7;2052.0
Рианская Лига;Эсмар;3684;679.3;2079.1
Рианская Лига;Каснер;3658;372.5;1750.7
Рианская Лига;Латал;3579;135.5;1433.0
Рианская Лига;Кадал;3502;310.7;1657.6
Рианская Лига;Вейсар;3408;493.1;1859.7
Рианская Лига;Асар;3303;303.5;1369.5
Рианская Лига;Федал;3253;176.8;1487.6
Рианская Лига;Росер;3169;298.1;1415.6
Рианская Лига;Ралис;3108;376.5;1720.4
Рианская Лига;Весен;3106;418.6;1775.2
Рианская Лига;Лимер;3052;681.2;2103.3
Рианская Лига;Терис;3000;258.9;1624.8
Рианская Лига;Оран;3000;411.2;1798.0
Рианская Лига;Фатал;3000;630.5;1572.1
Рианская Лига;Мерен;3000;282.5;1662.7
Рианская Лига;Арсен;3000;284.3;1325.8
Рианская Лига;Мамер;3000;154.1;1410.1
Рианская Лига;Норис;3000;237.0;1329.3
Рианская Лига;Ненар;3000;237.9;1501.5
Арвель;Астер;232000;1190.9;1695.0
Арвель;Велор;126000;1000.1;1471.4
Арвель;Даран;73034;1152.9;1771.3
Арвель;Севель;65892;909.0;1729.9
Арвель;Ренор;64322;963.7;1982.1
Арвель;Бренна;64015;1331.0;1783.0
Арвель;Терен;62453;1027.6;1733.4
Арвель;Серен;54030;1084.1;1847.8
Арвель;Лорель;49741;1301.4;1641.6
Арвель;Венир;48056;1330.6;2003.3
Арвель;Лейвен;45000;1405.5;1620.5
Арвель;Норель;42988;1618.4;1397.3
Арвель;Мерель;42956;1338.1;1960.5
Арвель;Реллин;41476;938.7;2059.7
Арвель;Мердан;36210;1096.9;1733.8
Арвель;Аведен;33204;982.3;1735.1
Арвель;Телен;33030;1343.2;1864.4
Арвель;Инор;32944;850.6;1746.2
Арвель;Дедар;28011;1464.6;1504.4
Арвель;Савер;27967;1253.6;1683.1
Арвель;Норан;24551;1385.3;1559.3
