;Рианская Лига:Вейра;Рианская Лига:Кассер;Рианская Лига:Невсер;Рианская Лига:Мересса;Рианская Лига:Дориал;Рианская Лига:Фалрен;Рианская Лига:Остранд;Рианская Лига:Арквен;Рианская Лига:Мариал;Рианская Лига:Эстис;Рианская Лига:Острис;Рианская Лига:Касранд;Рианская Лига:Ирар;Вальтерра:Астер;Вальтерра:Велорн;Вальтерра:Даран;Вальтерра:Велар;Вальтерра:Реларт;Вальтерра:Бреней;Вальтерра:Терет;Вальтерра:Дарен;Вальтерра:Лейвен;Келмарский Пакт:Карден;Келмарский Пакт:Дорвек;Келмарский Пакт:Варкел;Келмарский Пакт:Харден;Сольвианская Корона:Аурелл;Сольвианская Корона:Солена;Сольвианская Корона:Кармея;Сольвианская Корона:Вароса;Сольвианская Корона:Верира;Сольвианская Корона:Лусаль;Сольвианская Корона:Меретта;Сольвианская Корона:Калено;Сольвианская Корона:Розетта;Сольвианская Корона:Белаль;Сольвианская Корона:Карена;Сольвианская Корона:Деларо;Сольвианская Корона:Белира;Сольвианская Корона:Вараро;Саэрский Союз:Эйран;Саэрский Союз:Эйор;Саэрский Союз:Серрел;Лаорская Степь:Ордан;Лаорская Степь:Харун;Восточные Марки:Дарен;Восточные Марки:Ирет;Нерайская Лига:Нерасса;Нерайская Лига:Маорин;Нерайская Лига:Тейра;Нерайская Лига:Маоай;Нерайская Лига:Арулис
Рианская Лига:Вейра;0;314;474;497;217;182;440;512;576;389;434;259;226;956;874;901;676;694;1074;788;821;1183;1346;1241;1542;1288;1873;1808;1587;2084;1638;1746;1769;1696;1737;1754;1767;1464;1689;1600;2179;2415;2327;2701;3154;3015;3647;3437;3778;3884;3617;4053
Рианская Лига:Кассер;314;0;161;209;283;487;309;205;264;78;244;368;216;974;800;944;696;819;1122;815;890;1188;1547;1480;1756;1553;1654;1631;1358;1893;1506;1575;1638;1543;1537;1570;1613;1262;1480;1481;2144;2364;2284;2594;3055;3070;3688;3371;3709;3838;3536;4008
Рианская Лига:Невсер;474;161;0;116;412;645;339;65;105;87;254;491;343;1012;799;995;750;912;1169;864;956;1212;1656;1607;1871;1690;1546;1548;1248;1800;1451;1497;1581;1475;1442;1485;1544;1169;1379;1434;2134;2345;2270;2543;3006;3100;3709;3338;3674;3814;3495;3984
Рианская Лига:Мересса;497;209;116;0;382;652;247;66;127;138;163;452;319;908;685;895;654;835;1067;765;863;1103;1587;1553;1804;1648;1450;1441;1153;1697;1336;1388;1467;1364;1339;1378;1432;1065;1279;1318;2018;2229;2153;2428;2891;2990;3597;3222;3558;3698;3380;3868
Рианская Лига:Дориал;217;283;412;382;0;298;241;423;494;330;263;85;69;760;657;713;476;548;891;593;644;984;1264;1198;1473;1278;1669;1595;1388;1873;1421;1532;1552;1480;1528;1541;1551;1258;1484;1383;1974;2206;2120;2485;2939;2842;3469;3227;3568;3678;3404;3847
Рианская Лига:Фалрен;182;487;645;652;298;0;539;676;743;559;558;284;343;921;897;854;660;610;1017;759;762;1147;1197;1074;1384;1112;1958;1867;1681;2149;1672;1802;1801;1742;1811;1817;1812;1544;1771;1627;2149;2391;2299;2709;3156;2930;3567;3418;3760;3851;3606;4019
Рианская Лига:Остранд;440;309;339;247;241;539;0;311;374;295;85;272;215;676;492;656;411;590;831;525;618;883;1344;1321;1562;1428;1433;1372;1149;1645;1219;1312;1351;1268;1297;1316;1338;1024;1249;1189;1836;2057;1976;2300;2759;2769;3384;3067;3406;3531;3235;3701
Рианская Лига:Арквен;512;205;65;66;423;676;311;0;71;127;226;497;356;974;750;961;719;896;1133;831;928;1169;1646;1606;1862;1697;1481;1483;1183;1735;1389;1433;1519;1412;1377;1420;1480;1103;1314;1373;2080;2288;2214;2481;2944;3055;3662;3278;3614;3756;3434;3926
Рианская Лига:Мариал;576;264;105;127;494;743;374;71;0;186;290;568;427;1026;791;1017;778;962;1187;887;988;1215;1713;1677;1931;1768;1464;1480;1165;1726;1400;1432;1529;1417;1367;1415;1484;1096;1301;1388;2110;2314;2242;2492;2955;3099;3702;3297;3631;3779;3449;3949
Рианская Лига:Эстис;389;78;87;138;330;559;295;127;186;0;217;412;261;971;777;947;700;846;1124;817;901;1178;1584;1528;1797;1608;1588;1574;1292;1833;1461;1521;1592;1493;1476;1513;1562;1201;1416;1439;2120;2336;2258;2551;3013;3065;3679;3336;3674;3808;3498;3978
