;Нерасса;Маорин;Тейра;Навара;Арулис;Танири;Ориано;Навей;Марей;Ирэла;Аруна;Лаоре;Нерона;Ирелори;Мавири;Валена;Элалис;Тейрона;Оралис;Лимей;Терей;Нарона;Сарона;Талано;Селори;Арутано;Орирасса;Лавей;Ретари;Кавара;Мивири;Нерин;Ирелис;Мари;Ватано;Элатано;Тейсса;Орарасса;Ливей;Терела;Нарасса;Сарин;Севара;Арунира;Орилори;Лари;Ретано;Кавей;Милина;Невара;Иререла;Варела;Эласса;Тейлена;Орарона;Лилано;Тевири;Налина;Сарела;Танира;Арурасса;Оривей;Лавара
Нерасса;0;380;728;266;844;493;684;932;238;286;843;458;614;82;1022;845;101;908;69;59;617;556;354;231;540;720;241;428;182;421;588;563;687;119;396;329;205;390;781;637;93;433;577;826;558;955;355;262;972;592;911;365;961;518;731;1004;514;978;443;492;341;461;276
Маорин;380;0;349;243;464;113;304;552;270;249;539;78;493;462;642;489;481;549;448;395;237;606;99;222;160;386;470;678;508;686;209;543;427;334;57;139;469;78;401;257;415;53;569;446;178;575;131;538;593;212;531;157;598;620;427;624;135;598;136;113;189;81;178
Тейра;728;349;0;591;189;461;653;277;619;598;191;426;144;676;374;140;705;202;736;708;585;257;448;571;509;37;818;330;575;338;557;195;78;683;406;488;565;427;52;606;764;401;221;443;527;300;480;496;317;561;256;505;256;271;78;349;483;367;485;461;538;430;526
Навара;266;243;591;0;707;350;541;795;80;49;782;269;735;348;879;731;367;792;335;300;448;737;168;127;397;629;227;609;413;602;451;744;670;239;210;209;374;256;644;494;225;294;758;683;369;818;236;443;835;449;774;133;841;699;670;867;377;835;210;356;78;324;114
Арулис;844;464;189;707;0;577;510;88;735;713;188;542;333;865;185;147;894;85;913;859;533;446;564;687;540;226;934;519;765;527;605;384;267;799;522;603;754;543;235;443;880;517;410;254;613;111;595;685;128;494;67;621;133;461;262;160;599;178;601;577;654;546;642
Танири;493;113;461;350;577;0;191;499;383;341;652;81;605;574;529;601;594;662;561;508;124;718;212;335;47;499;577;791;621;799;160;656;540;447;170;252;582;191;514;144;528;60;682;333;93;584;244;651;557;99;522;217;711;733;540;565;90;485;140;101;272;132;291
Ориано;684;304;653;541;510;191;0;423;574;533;699;273;797;766;453;658;785;595;753;699;97;910;404;527;144;690;768;983;812;991;217;848;731;639;362;443;773;383;705;67;720;251;874;256;176;508;435;842;480;106;445;408;644;924;731;489;281;409;331;292;463;324;482
Навей;932;552;277;795;88;499;423;0;822;801;276;581;421;953;129;235;981;172;1000;947;445;534;652;775;452;314;1022;607;852;615;518;471;355;886;609;691;842;630;323;355;968;559;497;167;525;85;683;773;67;406;23;709;221;548;350;122;589;90;639;600;741;632;730
Марей;238;270;619;80;735;383;574;822;0;49;809;309;742;320;912;759;339;819;306;246;488;684;171;74;430;656;223;556;360;549;479;691;697;186;213;171;320;232;671;527;145;323;705;716;409;845;198;389;863;482;801;173;868;646;697;894;405;868;250;383;118;351;92
Ирэла;286;249;598;49;713;341;533;801;49;0;788;260;742;352;871;738;388;798;355;251;440;688;150;78;388;635;272;560;364;553;458;695;676;190;192;167;325;228;650;486;194;285;709;674;360;824;193;394;842;440;780;124;847;650;676;873;384;827;202;362;70;330;71
