;Нерасса;Маорин;Тейра;Навара;Арулис;Танири;Ориано;Навей;Марей;Ирэла;Аруна;Лаоре;Нерона;Ирелори;Мавири;Валена;Элалис;Тейрона;Оралис;Лимей;Терей;Нарона;Сарона;Талано;Селори;Арутано;Орирасса;Лавей;Ретари;Кавара;Мивири;Нерин;Ирелис;Мари;Ватано;Элатано;Тейсса;Орарасса;Ливей;Терела;Нарасса;Сарин;Севара;Арунира;Орилори;Лари;Ретано;Кавей;Милина;Невара;Иререла;Варела;Эласса;Тейлена;Орарона;Лилано;Тевири;Налина;Сарела;Танира;Арурасса;Оривей;Лавара
Нерасса;0;342;518;239;677;427;591;697;174;214;641;380;434;67;784;625;88;670;58;49;515;370;287;181;469;521;199;313;127;283;478;395;504;100;291;230;144;283;561;555;77;382;434;663;459;765;243;192;752;513;698;298;723;332;542;796;415;755;359;397;261;371;221
Маорин;342;0;314;219;418;86;251;410;223;195;458;64;296;367;483;419;406;444;395;295;179;202;75;173;127;335;404;295;328;256;157;255;344;244;51;114;297;67;345;214;322;48;366;336;139;482;109;330;463;171;418;113;506;204;374;504;95;448;92;90;148;66;140
Тейра;518;314;0;513;170;309;377;217;490;479;144;361;103;501;308;111;536;152;549;473;367;150;377;427;309;30;662;240;424;247;218;127;64;430;339;343;391;308;43;320;543;332;177;282;391;268;321;375;263;313;209;423;207;186;70;308;237;294;402;230;449;248;416
Навара;239;219;513;0;634;283;423;628;67;40;656;215;467;298;700;623;327;654;296;214;343;374;144;106;321;529;201;403;311;360;375;422;528;192;177;177;299;205;550;405;177;233;511;547;275;701;199;354;682;364;636;112;715;354;563;722;314;665;173;306;70;280;99
Арулис;677;418;170;634;0;379;371;74;625;605;158;446;272;666;150;114;702;76;712;631;397;308;491;563;360;183;803;410;590;416;273;296;217;584;457;479;557;435;129;327;693;419;336;210;446;100;459;544;100;342;55;531;120;348;193;141;324;149;493;328;565;354;544
Танири;427;86;309;283;379;0;165;358;300;267;448;71;320;453;422;403;492;419;481;381;97;236;150;255;42;336;478;352;410;317;106;286;353;330;136;199;379;150;332;129;405;50;401;264;84;430;193;407;409;86;369;171;480;252;377;446;74;385;118;89;214;91;220
Ориано;591;251;377;423;371;165;0;320;453;416;489;215;426;618;351;438;657;434;645;545;80;363;308;415;125;407;623;494;574;465;173;404;435;495;300;364;542;315;381;58;564;209;515;180;149;383;358;566;358;86;338;315;489;390;447;383;206;312;251;227;360;243;378
Навей;697;410;217;628;74;358;320;0;627;603;231;427;319;693;92;185;730;150;737;649;358;336;485;568;332;237;808;452;621;451;255;334;273;600;454;486;587;438;183;284;706;402;392;147;414;73;467;581;55;306;20;520;187;377;255;99;314;80;475;323;558;351;544
Марей;174;223;490;67;625;300;453;627;0;42;630;238;433;231;704;601;261;637;231;147;374;345;150;63;341;503;181;354;245;312;379;388;498;127;174;148;236;190;529;428;118;250;467;560;309;698;170;291;681;385;632;140;696;319;534;723;316;670;205;304;96;276;83
Ирэла;214;195;479;40;605;267;416;603;42;0;621;202;429;268;678;589;299;622;271;183;336;338;120;66;307;494;211;363;275;320;352;384;492;155;149;139;261;172;517;393;160;217;471;529;270;676;161;315;657;351;610;101;683;316;527;698;290;643;166;280;57;253;63
Аруна;641;458;144;656;158;448;489;231;630;621;0;503;208;615;302;52;646;84;665;599;494;286;521;567;442;127;797;338;534;359;349;248;137;559;483;483;505;451;116;437;674;474;232;353;527;243;461;477;252;438;213;567;96;316;99;285;378;307;545;373;592;392;558
Лаоре;380;64;361;215;446;71;215;427;238;202;503;0;354;414;492;460;452;481;436;336;137;262;93;201;107;385;412;360;382;320;173;315;397;287;96;164;353;126;388;191;349;28;427;333;81;500;165;390;479;149;438;103;543;268;425;517;126;456;48;130;147;116;163
Нерона;434;296;103;467;272;320;426;319;433;429;208;354;0;410;411;195;442;244;459;392;398;96;344;370;333;93;593;138;329;153;254;45;71;353;306;290;299;269;143;369;467;328;89;366;404;371;268;277;366;350;312;393;292;113;108;410;246;395;388;231;409;239;367
Ирелори;67;367;501;298;666;453;618;693;231;268;615;414;410;0;782;604;39;652;51;85;545;359;323;224;493;500;263;279;82;257;490;375;480;127;320;254;111;304;545;577;143;411;397;673;495;758;261;145;746;536;692;342;701;318;517;792;430;755;398;411;309;386;263
Мавири;784;483;308;700;150;422;351;92;704;678;302;492;411;782;0;263;819;218;824;735;404;426;558;647;390;327;885;543;711;542;326;426;362;686;530;567;676;517;273;326;788;469;482;171;467;64;549;671;50;357;100;590;236;467;342;35;388;39;539;400;630;428;621
Валена;625;419;111;623;114;403;438;185;601;589;52;460;195;604;263;0;637;53;653;581;445;260;485;538;394;104;772;332;524;348;302;230;127;539;448;454;493;418;74;386;653;432;239;302;480;207;432;471;212;389;168;530;98;295;93;250;335;263;504;332;558;352;526
Элалис;88;406;536;327;702;492;657;730;261;299;646;452;442;39;819;637;0;685;41;119;584;395;360;260;532;533;268;308;112;289;529;409;511;164;359;293;145;343;579;617;162;450;424;712;533;794;300;170;783;575;729;377;733;354;548;828;469;793;435;450;344;426;299
Тейрона;670;444;152;654;76;419;434;150;637;622;84;481;244;652;218;53;685;0;700;625;450;302;514;574;406;152;811;382;573;396;314;276;178;581;478;489;541;450;109;385;694;453;292;283;492;159;468;521;168;394;131;557;62;338;146;202;356;223;526;355;587;378;560
