№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;НЕ001;Нерасса;151000;I;221.4;413.6;3401.4;533.6;0;0;Лимей;49;островной порт
2;НЕ002;Маорин;134000;I;524.5;255.7;3704.5;375.7;342;380;Сарин;48;островной порт
3;НЕ003;Тейра;121000;I;734.3;488.8;3914.3;608.8;518;728;Арутано;30;островной порт
4;НЕ004;Навара;69134;II;315.1;193.1;3495.1;313.1;239;266;Ирэла;40;островной порт
5;НЕ005;Арулис;62919;II;898.1;442.8;4078.1;562.8;677;844;Иререла;55;островной порт
6;НЕ006;Танири;48851;III;597.8;211.1;3777.8;331.1;427;493;Селори;42;островной порт
7;НЕ007;Ориано;42289;III;729.9;111.9;3909.9;231.9;591;684;Терела;58;островной порт
8;НЕ008;Навей;41665;III;917.5;371.7;4097.5;491.7;697;932;Иререла;20;островной порт
9;НЕ009;Марей;40912;III;301.2;258.9;3481.2;378.9;174;238;Ирэла;42;островной порт
10;НЕ010;Ирэла;37112;III;331.2;230.1;3511.2;350.1;214;286;Навара;40;островной порт
11;НЕ011;Аруна;36959;III;838.2;588.8;4018.2;708.8;641;843;Валена;52;островной порт
12;НЕ012;Лаоре;35191;III;530.0;191.5;3710.0;311.5;380;458;Сарин;28;островной порт
13;НЕ013;Нерона;34939;III;639.5;528.5;3819.5;648.5;434;614;Нерин;45;островной порт
14;НЕ014;Ирелори;28758;III;232.9;479.1;3412.9;599.1;67;82;Элалис;39;островной порт
15;НЕ015;Мавири;27565;III;1001.0;334.1;4181.0;454.1;784;1022;Лилано;35;островной порт
16;НЕ016;Валена;26933;III;834.4;537.0;4014.4;657.0;625;845;Аруна;52;островной порт
17;НЕ017;Элалис;23901;III;198.7;498.4;3378.7;618.4;88;101;Ирелори;39;островной порт
18;НЕ018;Тейрона;21188;III;883.2;517.7;4063.2;637.7;670;908;Валена;53;островной порт
19;НЕ019;Оралис;19355;III;186.1;459.1;3366.1;579.1;58;69;Элалис;41;островной порт
20;НЕ020;Лимей;15759;III;268.8;402.4;3448.8;522.4;49;59;Нерасса;49;островной порт
21;НЕ021;Терей;15152;III;652.3;130.9;3832.3;250.9;515;617;Невара;57;островной порт
