№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;РИ001;Вейра;158000;I;230.2;701.3;270.2;1951.3;0;0;Фалрен;182;океанский порт
2;РИ002;Кассер;140000;I;178.2;391.9;218.2;1641.9;314;497;Сатал;21;океанский порт
3;РИ003;Невен;135603;I;161.3;232.2;201.3;1482.2;474;634;Арсар;22;океанский порт
4;РИ004;Мересса;132000;I;274.7;206.3;314.7;1456.3;497;719;Эсвир;23;океанский порт
5;РИ005;Дориал;119000;I;401.0;567.2;441.0;1817.2;217;235;Надал;25;океанский порт
6;РИ006;Фалрен;108000;I;326.7;856.0;366.7;2106.0;182;197;Вейра;182;океанский порт
7;РИ007;Мариаль;103000;I;482.7;340.3;522.7;1590.3;440;510;Фарис;27;океанский порт
8;РИ008;Арвен;78317;II;210.8;189.6;250.8;1439.6;512;692;Ровир;21;торгово-ремесленный город
9;РИ009;Лисар;75719;II;174.7;128.4;214.7;1378.4;576;747;Ветал;20;океанский порт
10;РИ010;Эстен;62854;II;188.4;314.3;228.4;1564.3;389;540;Месар;21;торгово-ремесленный город
11;РИ011;Орис;60668;II;405.5;303.9;445.5;1553.9;434;603;Вейнер;21;торгово-ремесленный город
12;РИ012;Ивар;59792;II;473.0;612.1;513.0;1862.1;259;327;Вейсар;20;торгово-ремесленный город
13;РИ013;Фаден;59107;II;356.8;514.1;396.8;1764.1;226;278;Весен;24;торгово-ремесленный город
14;РИ014;Меран;45067;III;154.2;297.1;194.2;1547.1;411;582;Вейвар;21;океанский порт
15;РИ015;Наран;43666;III;117.0;183.3;157.0;1433.3;530;722;Лирис;21;океанский порт
16;РИ016;Тарон;43097;III;229.5;393.3;269.5;1643.3;308;441;Терис;21;торгово-ремесленный город
17;РИ017;Ардал;40769;III;219.3;238.3;259.3;1488.3;463;644;Кассен;22;торгово-ремесленный город
18;РИ018;Мадал;40569;III;164.0;173.8;204.0;1423.8;532;704;Недал;25;торгово-ремесленный город
19;РИ019;Нолис;39691;III;116.7;226.1;156.7;1476.1;489;676;Новир;23;океанский порт
20;РИ020;Несен;39582;III;179.3;91.1;219.3;1341.1;612;792;Норис;21;океанский порт
21;РИ021;Селис;36803;III;203.4;350.9;243.4;1600.9;351;496;Арвер;23;торгово-ремесленный город
22;РИ022;Эслис;35689;III;436.8;591.6;476.8;1841.6;234;285;Вейсар;24;торгово-ремесленный город
23;РИ023;Каслен;31935;III;565.4;318.8;605.4;1568.8;509;603;Фатал;25;торгово-ремесленный город
24;РИ024;Кавир;31376;III;526.4;685.2;566.4;1935.2;297;427;Мавер;22;торгово-ремесленный город
25;РИ025;Вейрис;30695;III;210.0;143.3;250.0;1393.3;558;751;Норел;25;торгово-ремесленный город
26;РИ026;Асен;30281;III;594.6;756.3;634.6;2006.3;369;537;Тесен;21;торгово-ремесленный город
27;РИ027;Фенер;30162;III;611.4;789.7;651.4;2039.7;391;579;Савир;20;торгово-ремесленный город
28;РИ028;Ротал;28715;III;233.0;116.7;273.0;1366.7;585;780;Асар;31;океанский порт
29;РИ029;Равер;26806;III;535.5;297.1;575.5;1547.1;507;588;Каслен;37;торгово-ремесленный город
30;РИ030;Вевир;26614;III;342.6;279.7;382.6;1529.7;436;681;Эсвер;29;торгово-ремесленный город
31;РИ031;Лирел;24652;III;260.3;434.4;300.3;1684.4;269;382;Мерен;28;торгово-ремесленный город
32;РИ032;Терон;24392;III;206.2;54.2;246.2;1304.2;648;842;Норис;27;океанский порт
33;РИ033;Овир;20933;III;222.5;434.0;262.5;1684.0;267;427;Мерен;29;торгово-ремесленный город
34;РИ034;Фатен;18872;III;549.8;740.5;589.8;1990.5;322;484;Нален;25;прибрежный малый город
35;РИ035;Метал;17334;III;281.6;96.6;321.6;1346.6;607;824;Асар;29;океанский порт
36;РИ036;Налар;16223;III;301.8;239.0;341.8;1489.0;468;744;Эсвер;32;прибрежный малый город
37;РИ037;Таран;15181;III;263.5;254.3;303.5;1504.3;448;698;Эсвир;32;прибрежный малый город
