;Эйран;Эйлас;Серрел;Мейран;Вейран;Лорай;Тейрал;Эрел;Эрис;Райел;Сарен;Нирель;Асай;Вейнир;Сетар;Сарел;Эймир;Танел;Минел;Лейтел;Орлас;Нинар;Мейтар;Тейтар;Лоран;Илар;Эвир;Райлас;Сайран;Ренар;Арас;Вейтел;Сенел;Сарас;Эйтар;Тарей;Мирей;Лейлас;Ортел;Нимир;Тейнел;Ломир;Ирелан;Этел;Сайлен;Ресай;Анар;Веймар;Сател;Эйнар
Эйран;0;316;191;87;539;339;413;291;536;516;486;361;73;209;34;486;349;115;38;105;456;163;559;365;285;509;275;69;242;180;234;57;448;460;322;577;442;416;260;99;312;386;272;198;204;500;144;169;309;420
Эйлас;316;0;128;403;854;655;97;607;852;201;802;677;260;525;297;802;34;431;354;421;772;168;875;681;601;825;53;385;558;165;93;373;764;144;638;893;758;732;576;232;33;70;63;514;520;816;460;485;625;736
Серрел;191;128;0;278;730;530;225;482;727;328;677;552;132;400;169;677;161;306;229;296;647;40;750;556;477;700;83;260;434;37;43;248;640;272;513;768;633;607;452;104;121;198;81;389;396;691;336;361;500;611
Мейран;87;403;278;0;527;328;500;204;448;604;399;273;158;197;119;475;437;29;53;94;368;248;548;353;274;422;362;50;231;265;321;30;361;548;311;565;430;404;173;184;400;473;359;186;117;412;57;82;221;333
Вейран;539;854;730;527;0;199;951;731;976;1055;926;801;605;330;567;52;888;556;500;433;896;695;27;179;253;949;813;477;302;713;773;502;888;999;227;44;123;123;700;632;851;925;811;343;644;940;584;609;748;860
Лорай;339;655;530;328;199;0;752;532;776;856;727;601;406;130;368;147;689;357;301;234;696;496;220;25;54;750;614;278;103;513;573;302;689;799;27;238;102;76;501;433;652;725;611;144;445;740;385;410;549;661
Тейрал;413;97;225;500;951;752;0;704;948;104;899;773;357;622;394;899;66;527;451;518;868;265;972;777;698;922;149;482;655;261;190;470;861;52;735;989;854;828;673;329;122;34;160;610;617;912;557;582;721;833
Эрел;291;607;482;204;731;532;704;0;258;808;209;83;361;401;323;679;641;178;256;298;179;451;751;557;478;232;566;253;435;469;525;234;171;751;514;769;634;608;31;388;603;677;563;390;88;223;160;122;45;143
Эрис;536;852;727;448;976;776;948;258;0;1052;54;175;606;646;568;923;885;423;501;542;80;696;996;802;722;50;810;498;679;713;770;479;89;996;759;1014;879;853;275;632;848;922;808;635;345;38;404;366;227;115
Райел;516;201;328;604;1055;856;104;808;1052;0;1002;877;461;725;497;1003;167;631;555;622;972;369;1076;881;802;1026;253;585;759;365;294;573;965;56;838;1093;958;932;777;432;223;135;263;714;721;1016;661;686;825;937
Сарен;486;802;677;399;926;727;899;209;54;1002;0;125;556;596;518;874;835;373;451;493;31;646;946;752;673;25;761;448;630;664;720;429;45;946;709;964;829;803;226;583;798;872;758;585;296;41;354;317;177;66
Нирель;361;677;552;273;801;601;773;83;175;877;125;0;431;471;393;748;710;248;326;367;95;521;821;627;547;149;635;323;504;538;595;304;88;821;584;839;704;678;100;457;673;747;633;460;170;139;229;191;52;60
Асай;73;260;132;158;605;406;357;361;606;461;556;431;0;276;38;553;294;187;105;172;526;92;626;432;352;580;213;136;309;109;173;130;519;405;389;644;509;483;331;28;251;331;213;264;275;570;215;240;379;491
Вейнир;209;525;400;197;330;130;622;401;646;725;596;471;276;0;237;277;558;227;171;104;566;366;350;156;77;619;483;148;34;383;443;172;559;669;113;368;233;207;371;302;521;595;481;27;314;610;255;280;419;530
Сетар;34;297;169;119;567;368;394;323;568;497;518;393;38;237;0;515;330;148;66;134;488;128;587;393;314;541;250;97;271;146;209;91;480;441;350;605;470;444;292;65;288;367;250;226;236;532;176;201;340;452
Сарел;486;802;677;475;52;147;899;679;923;1003;874;748;553;277;515;0;836;504;448;381;843;643;73;126;201;897;761;425;250;660;720;449;836;946;174;91;72;71;648;579;798;872;758;291;592;887;532;557;696;808
Эймир;349;34;161;437;888;689;66;641;885;167;835;710;294;558;330;836;0;464;388;455;805;202;909;714;635;859;86;418;592;198;127;406;798;111;671;926;791;765;610;265;56;41;96;547;554;849;494;519;658;770
Танел;115;431;306;29;556;357;527;178;423;631;373;248;187;227;148;504;464;0;82;123;343;277;577;382;303;396;389;79;260;294;349;58;335;575;340;594;459;433;148;213;427;501;387;215;91;387;40;56;196;307
Минел;38;354;229;53;500;301;451;256;501;555;451;326;105;171;66;448;388;82;0;67;421;195;521;327;247;475;313;31;204;212;272;26;414;498;284;539;404;378;226;131;350;424;310;160;170;465;110;135;274;386
