;Эйран;Эйлас;Серрел;Мейран;Вейран;Лорай;Тейрал;Эрел;Эрис;Райел;Сарен;Нирель;Асай;Вейнир;Сетар;Сарел;Эймир;Танел;Минел;Лейтел;Орлас;Нинар;Мейтар;Тейтар;Лоран;Илар;Эвир;Райлас;Сайран;Ренар;Арас;Вейтел;Сенел;Сарас;Эйтар;Тарей;Мирей;Лейлас;Ортел;Нимир;Тейнел;Ломир;Ирелан;Этел;Сайлен;Ресай;Анар;Веймар;Сател;Эйнар
Эйран;0;254;154;60;405;252;331;203;387;411;352;260;56;156;28;366;279;72;29;79;329;122;423;272;211;370;216;52;181;135;184;43;320;366;239;438;319;313;185;76;243;310;207;144;135;360;103;114;220;304
Эйлас;254;0;103;279;657;505;78;282;460;159;419;337;203;408;229;618;26;268;279;331;397;133;675;525;465;427;38;299;433;128;71;281;405;115;490;689;569;566;286;181;24;56;50;397;255;443;287;266;315;373
Серрел;154;103;0;176;555;403;181;206;397;262;357;267;101;306;127;516;128;166;177;229;333;31;573;423;363;369;65;197;331;28;32;179;336;217;388;586;466;464;203;79;89;158;63;296;163;376;187;169;237;308
Мейран;60;279;176;0;381;232;357;157;331;438;298;208;80;137;64;343;304;21;42;68;275;147;400;252;196;316;241;39;160;151;208;22;265;393;215;412;291;292;136;101;264;333;237;132;91;304;46;65;168;251
Вейран;405;657;555;381;0;154;735;471;519;816;514;477;454;249;429;39;682;396;379;327;505;524;20;134;195;533;619;358;224;531;586;376;481;770;167;33;91;92;449;476;644;713;611;262;440;495;387;416;454;496
Лорай;252;505;403;232;154;0;582;343;437;663;421;364;302;96;276;115;530;248;226;174;407;371;171;20;42;442;467;205;72;380;434;225;385;617;21;186;75;61;320;324;492;560;458;108;301;410;245;275;334;392
Тейрал;331;78;181;357;735;582;0;348;513;82;474;399;281;486;306;696;52;346;356;408;452;211;753;602;542;479;116;377;510;205;148;359;463;39;568;767;647;643;354;259;94;25;125;475;328;499;363;341;381;431
Эрел;203;282;206;157;471;343;348;0;196;425;157;63;176;264;188;437;304;137;197;219;133;195;491;362;319;172;251;195;282;180;229;179;131;386;323;497;381;394;23;181;260;322;262;268;69;172;115;92;33;107
Эрис;387;460;397;331;519;437;513;196;0;582;40;133;369;390;377;495;478;315;374;377;64;390;538;451;430;37;434;363;399;374;417;353;67;550;418;536;443;469;207;376;436;489;449;404;259;29;286;274;170;90
Райел;411;159;262;438;816;663;82;425;582;0;543;473;362;567;387;777;134;427;437;489;523;292;833;683;622;547;198;458;591;287;230;440;536;45;649;848;728;724;433;340;176;106;204;555;409;570;445;423;458;503
Сарен;352;419;357;298;514;421;474;157;40;543;0;95;332;367;340;487;438;281;341;348;24;350;533;436;411;20;394;331;378;334;376;320;37;510;401;533;434;457;170;338;396;449;409;379;222;30;252;239;133;50
Нирель;260;337;267;208;477;364;399;63;133;473;95;0;237;295;247;446;358;190;250;264;70;257;497;381;346;110;308;244;310;242;288;230;69;436;343;501;390;408;76;244;314;373;321;304;127;110;163;146;40;45
