№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
1;СА001;Эйран;114000;I;437.1;444.1;2317.1;1204.1;0;0;Сетар;28;долинный административный центр
2;СА002;Эйлас;85081;II;622.2;270.3;2502.2;1030.3;254;316;Тейнел;24;долинный административный центр
3;СА003;Серрел;50082;II;560.5;352.6;2440.5;1112.6;154;191;Ренар;28;долинный административный центр
4;СА004;Мейран;49498;III;462.0;498.6;2342.0;1258.6;60;87;Танел;21;долинный административный центр
5;СА005;Вейран;44514;III;188.9;764.2;2068.9;1524.2;405;539;Мейтар;20;долинный административный центр
6;СА006;Лорай;38794;III;277.1;638.4;2157.1;1398.4;252;339;Тейтар;20;долинный административный центр
7;СА007;Тейрал;29549;III;671.3;210.0;2551.3;970.0;331;413;Ломир;25;высокогорный/аграрный город
8;СА008;Эрел;25036;III;609.4;552.3;2489.4;1312.3;203;291;Ортел;23;высокогорный/аграрный город
9;СА009;Эрис;21396;III;706.5;722.3;2586.5;1482.3;387;536;Ресай;29;высокогорный/аграрный город
10;СА010;Райел;20179;III;713.7;139.9;2593.7;899.9;411;516;Сарас;45;высокогорный/аграрный город
11;СА011;Сарен;18068;III;696.2;683.1;2576.2;1443.1;352;486;Илар;20;высокогорный/аграрный город
12;СА012;Нирель;16878;III;639.5;607.3;2519.5;1367.3;260;361;Сател;40;высокогорный/аграрный город
13;СА013;Асай;16252;III;489.4;423.8;2369.4;1183.8;56;73;Нимир;22;высокогорный/аграрный город
14;СА014;Вейнир;14439;IV;346.6;571.7;2226.6;1331.7;156;209;Этел;21;высокогорный/аграрный город
15;СА015;Сетар;13642;IV;463.2;434.9;2343.2;1194.9;28;34;Эйран;28;высокогорный/аграрный город
16;СА016;Сарел;12140;IV;211.9;733.1;2091.9;1493.1;366;486;Вейран;39;высокогорный/аграрный город
17;СА017;Эймир;11866;IV;636.8;249.3;2516.8;1009.3;279;349;Эйлас;26;высокогорный/аграрный город
18;СА018;Танел;10347;IV;483.1;499.8;2363.1;1259.8;72;115;Мейран;21;высокогорный/аграрный город
19;СА019;Минел;10305;IV;429.3;471.6;2309.3;1231.6;29;38;Вейтел;21;высокогорный/аграрный город
20;СА020;Лейтел;10249;IV;394.5;510.4;2274.5;1270.4;79;105;Райлас;33;высокогорный/аграрный город
21;СА021;Орлас;9800;IV;683.3;662.4;2563.3;1422.4;329;456;Сарен;24;высокогорный/аграрный город
22;СА022;Нинар;9567;IV;535.9;372.0;2415.9;1132.0;122;163;Ренар;22;высокогорный/аграрный город
23;СА023;Мейтар;8899;IV;170.4;771.9;2050.4;1531.9;423;559;Вейран;20;высокогорный/аграрный город
24;СА024;Тейтар;8846;IV;261.0;651.0;2141.0;1411.0;272;365;Лорай;20;высокогорный/аграрный город
25;СА025;Лоран;8465;IV;294.0;599.4;2174.0;1359.4;211;285;Сайран;37;высокогорный/аграрный город
26;СА026;Илар;8331;IV;716.0;686.8;2596.0;1446.8;370;509;Сарен;20;высокогорный/аграрный город
27;СА027;Эвир;8087;IV;600.0;301.4;2480.0;1061.4;216;275;Ирелан;24;высокогорный/аграрный город
28;СА028;Райлас;7952;IV;423.6;494.5;2303.6;1254.5;52;69;Вейтел;21;высокогорный/аграрный город
29;СА029;Сайран;7371;IV;330.3;589.8;2210.3;1349.8;181;242;Вейнир;24;высокогорный/аграрный город
30;СА030;Ренар;7245;IV;556.3;380.3;2436.3;1140.3;135;180;Нинар;22;высокогорный/аграрный город
31;СА031;Арас;7182;IV;578.3;325.8;2458.3;1085.8;184;234;Серрел;32;высокогорный/аграрный город
32;СА032;Вейтел;6815;IV;443.1;487.1;2323.1;1247.1;43;57;Минел;21;высокогорный/аграрный город
33;СА033;Сенел;6698;IV;661.0;673.2;2541.0;1433.2;320;448;Орлас;25;высокогорный/аграрный город
34;СА034;Сарас;6453;IV;682.9;173.1;2562.9;933.1;366;460;Тейрал;39;высокогорный/аграрный город
35;СА035;Эйтар;6319;IV;297.6;637.6;2177.6;1397.6;239;322;Лорай;21;высокогорный/аграрный город
36;СА036;Тарей;6234;IV;175.1;794.4;2055.1;1554.4;438;577;Мейтар;23;высокогорный/аграрный город
37;СА037;Мирей;6059;IV;263.4;711.7;2143.4;1471.7;319;442;Лейлас;35;высокогорный/аграрный город
38;СА038;Лейлас;6029;IV;239.2;686.7;2119.2;1446.7;313;416;Мирей;35;высокогорный/аграрный город
39;СА039;Ортел;5923;IV;586.1;553.9;2466.1;1313.9;185;260;Эрел;23;высокогорный/аграрный город
40;СА040;Нимир;4190;IV;502.3;405.9;2382.3;1165.9;76;99;Асай;22;высокогорный/аграрный город
41;СА041;Тейнел;3405;IV;627.6;293.4;2507.6;1053.4;243;312;Эйлас;24;высокогорный/аграрный город
42;СА042;Ломир;3398;IV;666.0;234.9;2546.0;994.9;310;386;Тейрал;25;высокогорный/аграрный город
43;СА043;Ирелан;3351;IV;577.5;292.2;2457.5;1052.2;207;272;Эвир;24;высокогорный/аграрный город
44;СА044;Этел;3066;IV;341.1;551.1;2221.1;1311.1;144;198;Вейнир;21;высокогорный/аграрный город
45;СА045;Сайлен;3000;IV;551.8;515.1;2431.8;1275.1;135;204;Веймар;28;высокогорный/аграрный город
46;СА046;Ресай;3000;IV;681.1;709.2;2561.1;1469.2;360;500;Эрис;29;высокогорный/аграрный город
47;СА047;Анар;3000;IV;496.5;528.7;2376.5;1288.7;103;144;Веймар;29;высокогорный/аграрный город
48;СА048;Веймар;3000;IV;523.9;517.8;2403.9;1277.8;114;169;Сайлен;28;высокогорный/аграрный город
49;СА049;Сател;3000;IV;606.5;585.2;2486.5;1345.2;220;309;Эрел;33;высокогорный/аграрный город
50;СА050;Эйнар;3000;IV;669.2;640.7;2549.2;1400.7;304;420;Орлас;26;высокогорный/аграрный город
