Chapter;Pages;Location;Beat;PageTurn/Visual
1;1–5;Дом Вейлов;Кухня, документы, Тален, Сейра;5-я стр.: Найра наконец убирает бумаги
1;6–11;Прихожая;Меч Марена, restrained reveal;11-я: ножны закрываются
1;12–17;Южные сады;город просыпается, Найра идёт;17-я: Академия появляется за Венна
1;18–20;Мост Венна;поток людей, старая кладка;20-я: первый полный вид Академии
1;21–28;Регистрация;очереди, документы, оружие;28-я: шаг в сторону Двора Основателей
2;1–5;Двор Основателей;монолит как бытовой фон;Ильва говорит, где синяя группа
2;6–10;Ориентация;Ильва через навигацию;короткий путь
2;11–17;Демонстрационные столы;Резонанс / Люмен;слабое послеощущение не крупнее 1 панели
2;18–24;Коридор/лекция;Эрен, ошибка аудитории;финал: «понимаете хуже, чем думаете»
3;1–6;Стол №8;Эрен/Ильва/Торрен/Весса приходят;пять мест заполняются
3;7–17;Лаборатория;крепёж, Формa, ошибки операторов;группа работает как система
3;18–22;Перерыв;идея общей еды + цена Эрена;пять силуэтов выходят вместе
4;1–5;Механика;две тележки и вопрос реакции;page turn на «О что мы толкаемся?»
4;6–13;Стенд;жёсткая/свободная опора;тележки разъезжаются
4;14–17;Ошибка Найры;стул откатывается;комический визуальный пик
4;18–22;Дарновая/массивная опора;тот же Fv работает лучше;фраза становится шуткой группы
5;1–5;Дождь/дорога;семь минут до кафе;вывеска колокола
5;6–11;Третий Колокол;толпа, Мара, тесный стол;пятёрка садится
5;12–19;Еда/деньги/профессии;заказы, мост Торрена;тарт Найры
5;20–24;Выход/Венна;группа расходится;Найра понимает: день хорош из-за людей
6;1–6;Резонансная лаборатория;слабая/сильная проба;measurement changes object
6;7–15;индивидуальные каналы;хвост Найры;никакого крупного спецэффекта
6;16–19;контроль Ильвы/смена канала;обычные объяснения;учитель останавливает серию
6;20–22;журнал/коридор;«повторить при случае»;финал на маленькой записи
7;1–5;монтаж;дождь, яблоки, лекции;ускоренный ритм
7;6–11;учёба/кафе;Форма, Вита, мокрые плащи;короткие бытовые рифмы
7;12–15;Дом Вейлов;"Сейра: ела ли; меч остаётся в ножнах";конспект важнее артефакта
7;16–18;Двор Основателей;Найра идёт без карты;закрытие арки поступления
8;1–7;Северное Окно;новая/старая книга, маргиналии;«СОВРАЛ» как визуальный юмор
8;8–14;издания/стандарты;Эрен объясняет, что можно брать старым;книга = технология знания
8;15–18;граница помощи;"Найра предлагает делиться; Эрен задаёт рамку";обмен конспектами
8;19–22;дешёвая столовая;Ильва приходит, разговор о преподавателях;том закрывается на книгах и людях
